WNAM,SCHN
"Miranda, Inés",Madrid
"Miranda, María Josefa (Marquesa de la Bóveda)",Madrid
"Miret y González, Enriqueta",Madrid
"Miró Amérigo, Concepció (or Concepción)",Barcelona
"Mogas Llupià, Rosa",Barcelona
"Monclar, María Teresa",Barcelona
"Montaner de Sureda, Pilar",Balearic Islands
"Montaner Gómez de Bosch, Encarnació",Catalonia
"Montañés Criquillón, Alicia",Barcelona
"Montero Paullier, Paulina",Barcelona
"Montesinos y Espartero, Virginia",Madrid
"Montilla Casal, Concepción",Madrid
"Mora de Falcón, Leticia",Catalonia
"Morcillo y Cidrón, Josefa",Madrid
"Moreno, María de la Luz",Granada
"Moreno, María de la Purificación",Madrid
"Moreno, Victoria",Seville
"Morera Camps, Maria",Catalonia
"Morros Sagarra, Angelina",Barcelona
"Munárriz, María Josefa",Madrid
"Muñíz, Juana",Madrid
"Muñoz Calixto, Dolors",Barcelona
"Muñoz de Cacho, Manuela",Cádiz
"Muñoz de Tejada, Josefa",
"Murguiro, Adela de",Madrid
"Murillo y Bravo de Vela, Josefa",Málaga
"Murillo, Encarnació",Barcelona
"Myrbach, Feliciá",Barcelona
"Navarro Moreno, Aurelia",Andalusia
"Nicolau Parody, Teresa",Madrid
"Noguer, Josefina",Barcelona
"Noriega, María del Milagro",Madrid
"Nostench de los Ríos, María Teresa",Seville
"Notario y Merino, María",Madrid
"Nouvilas, Pilar",Gerona
"Núñez y López, Trinidad",Madrid
"O'Dena, Adelaida",Madrid
"Oliva, (Soror) Mencía de la",Córdoba
"Oller Rabassa, María",Barcelona
"Oñate, Luisa",Madrid
"Orozco de Folache, Josefa Elisa",Gerona
"Ortega de Obregón, Agustina",Saragossa
"Ortiz López, Concepción",Madrid
"Osés Hidalgo, Carmen (or Carme)",Saragossa
"Ovalle y Castañeda, María de",Madrid
"Oviedo, Antonia",Cádiz
"Padró y Grané, Mercedes",Barcelona
"Padrón Díaz, Lorenza",Canary Islands
"Palà Calvo, Joana (or Juana, or Juanita)",Barcelona
"Palacios, Amparo",Valencia
"Palou, María Ana",Balearic Islands
"Panyó, María",Barcelona
"Pardo Bazán, Emilia",Galicia
"Paredes y Ramírez, Angelina",Cádiz
"Pareja, Amparo",Granada
"Parés Mundi, Marina",Barcelona
"Pascual Abad y Francés, Isabel",Valencia
"Pascual de Bonanza, Belén",Madrid
"Pastor y Vidal, Magdalena",Seville
"Pastor, Angeles",Seville
"Pastors, Manuela",Balearic Islands
"Pedro, Aurora de",Madrid
"Pelfort, Rosa",Barcelona
"Pellicer Martí, Flora",Barcelona
"Pelufo, Matilde",Cádiz
"Penzato Plusquín, Margarita",Granada
"Perales, Amalia",Valencia
"Pérez Alemán, Regina",Madrid
"Pérez Ballester, Emilia",Madrid
"Pérez de Gracia, María de los Dolores",Madrid
"Pérez de la Rivera, Clotilde",Santander
"Pérez Herrero, María Luisa",Madrid
"Pérez, María de la Concepción",Seville
"Pirala, María",Madrid
"Pla, Teresa",Barcelona
"Planas, Pilar",
"Planell Poletti, Montserrat",Barcelona
"Plenee, Llüisa (or Luisa) de",Barcelona
"Poleró y García, Consuelo",Madrid
"Pomar Farriols, Paulina",Barcelona
"Pons Cavaller, María del Rosario (or Roser)",Barcelona
