WNAM,SCHN
"Gutiérrez Frechina, Francisco",Valencia
"Gutiérrez Hernández, Ernesto",Madrid
"Gutiérrez Rivera, Francisco",Málaga
"Gutiérrez Solana, José",Madrid; Santander
"Gutiérrez, Francisco",Madrid
"Gutiérrez, Francisco",Madrid
"Gutiérrez, Juan Simón",Seville
"Guzmán, Jorge",Barcelona
"Guzmán, Juan Bautista",Granada
"Haes, Carlos de",Madrid
"Halen, Francesc (or Francisco) de Paula van",Barcelona; Madrid
"Hamen y León, Juan van der",Madrid
"Han, Master",Castile
Hanequín de Bruselas,Toledo
"Haya, Martín de la",Burgos
"Haya, Rodrigo de la",Burgos
"Haza y Astier, José de la",Madrid
Hearst Master,Aragon
"Helle, Isaac (or Isaak, or Izaak) de",Toledo
"Hermida, Juan de",Seville
"Hermoso Martínez, Eugenio",Estremadura; Madrid
"Hermoso, Diego",Madrid
"Hermoso, Pedro",Granada; Madrid
"Hernández Amores, Germán",Murcia; Madrid
"Hernández Amores, Víctor",Murcia; Madrid
"Hernández Bello, Blas",Seville
"Hernández Monjo, Francisco (or Francesc)",Balearic Islands; Barcelona
"Hernández Nájera, Miguel",Madrid
"Hernández Prado, Rafael",Madrid
"Hernández Sánchez, Mateo",Salamanca
"Hernández Tomé, Francisco",Madrid
"Hernández, Amado",Zamora; Madrid
"Hernández, Bartolomé (or Bartholomé)",Castile
"Hernández, Blas",Segovia; Avila
"Hernández, Francisco",Seville
"Hernández, Jerónimo",Avila; Andalusia
"Hernández, José Acisclo",Salamanca
"Hernández, Pedro",Salamanca
"Hernández, Tomás",Valencia
"Hernández, Vico",
"Herráez y Rodríguez, Félix",Madrid
"Herrer Marcher, César María",Asturias
"Herrer Rodríguez, Joaquín María",Madrid
Herrera el Rubio,Seville
"Herrera Barnuevo, Antonio de",Madrid; Segovia
"Herrera Barnuevo, Sebastián (or Sebastiano) de",Madrid
"Herrera I, Francisco",Balearic Islands
"Herrera II, Francisco",Balearic Islands
"Herrera the Elder, Francisco de",Seville; Madrid
"Herrera the Younger, Francisco de",Seville; Madrid
"Herrera y Velasco, Emilio",Málaga
"Herrera, Alonso de",Segovia
"Herrera, Cristóbal de",Burgos
"Herrera, Gregorio",Balearic Islands
"Herrera, Juan de",
"Herrero, J.",
"Herreros de Tejada, Luis",Madrid
"Herreros, Enrique",Catalonia
"Hevia Granda, Víctor",Asturias
"Hidalgo de Caviedes, Hipólito",Madrid
"Hidalgo de Caviedes, Rafael",Madrid
"Hidalgo, Antonio",Seville
"Higueras Cátedra, Jacinto",Jaen
"Higueras Fuentes, Jacinto",Jaen; Madrid
"Hijón, Maximiano",Navarre
"Hinestrosa, Juan de",Seville
"Hiráldez Acosta, Marcos",Seville; Madrid
"Hispano, Francisco",Madrid
"Hispano, Marcos",Madrid
"Hispano-Arabic, School of, Anonymous Sculptors of",
"Hispano-Flemish School, Anonymous Painters of",
"Hispano-Flemish School, Anonymous Sculptors of",
"Hispano-Italian School, Anonymous Painters of",
"Hispano-Italian School, Anonymous Sculptors of",
"Hispano-Philippine School, Anonymous Painters of",
"Hispano-Philippine School, Anonymous Sculptors of",
"Hispano-Roman School, Anonymous Painters of",
"Hispano-Roman School, Anonymous Sculptors of",
"Hispano-Sicilian School, Anonymous Painters of",
"Hispano-Sicilian School, Anonymous Sculptors of",
"Hohenleiter, Francisco",Andalusia
"Holanda, Cornielles (or Cornielis, or Corniellis) de",Galicia
"Holanda, Guillén de",Castile; Navarre
"Homs Bisa, Josep Antoni",Barcelona
"Horfelín, Antonio de",Saragossa
"Horozco, Juan de",Castile
"Hortigosa, Pedro",Madrid
"Hovyez, M.",
"Hoyo y González, Jose María del",Madrid
"Huarte Mendicoa y Marín, Vicente",Cuenca; Alicante
"Huerta Romaguera, Gaspar de",Cuenca; Valencia
"Huerta y Ayuso, Moisés",Basque Country
"Huerta, Juan (or Jean) de la",Aragon; Catalonia
"Huertas Garcés, Juan de la",Toledo
"Hugué, Manolo (or Manuel)",Barcelona
"Huguet, Jaume (or Jaime)",Catalonia; Saragossa
"Huguet, Jaume (or Jaime)",Catalonia
"Huguet, Pere (or Pedro)",Catalonia
"Huidobro Laplana, Luis",Madrid
"Humbert, Manuel",Catalonia
"Hurtado de Mendoza, Esteban",Seville
"Hurtado Izquierdo, Francisco",Madrid; Andalusia
"Hurtado y Corral, Carlos",Madrid
"Hurtado, Vicente",Valencia
"Hurtuna Giralt, Josep (or José)",Barcelona
"Ibáñez Belda, Martín",Valencia
"Ibáñez de Aldecoa, Julián",Basque Country; Madrid
"Ibáñez Flórez, Eduardo",Madrid
"Ibáñez García de Lara, Vicente",Valencia
"Ibarra, Pedro de",Salamanca
"Iberian School, Anonymous Sculptors of",
"Ibero, Ignacio de",Guipúzcoa
"Iborra, Lino Casimiro",Santander
"Ichaso, Diego de",Navarre
"Iciar, Juan de",Saragossa
"Iglesias Recio, Manuel",Salamanca
"Iglesias, Manuel",
"Igual Ruiz, Enrique",Valencia; Barcelona
"Illa, Marian (or Mariano)",Valencia; Barcelona
"Illanes Rodríguez, Antonio",Seville
"Illes, Joan ces",Barcelona
"Imberto III, Juan",Navarre
"Imberto the Elder, Juan",Navarre
"Imberto the Younger, Juan",Navarre
"Imberto, Bernabé",Navarre
"Imberto, Juan",Segovia
"Imberto, Pedro",Navarre
"Infante, Martín",Andalusia
"Inglada, Francesc (or Francisco)",Barcelona
"Inglada, Narcís (or Narciso)",Barcelona
"Inglés, Jorge",Castile
"Inglés, José (or Josef)",Valencia
"Inglés, Vicente",Valencia
"Iniesta Soto, Félix",Málaga
"Iniesta Soto, Pedro",Málaga
"Iñigo y Gorostiza, Carlos",Madrid
"Iñiguez Almech, Francisco",Madrid
"Insúa, Waldo",Madrid; Málaga
"Inurria, Mateo",Córdoba
"Inza, Joaquín",Castile
"Irala, Fray Matías de",Madrid
"Irazu, Juan de",La Rioja
"Irazusta, Miguel de",Basque Country
"Iriarte, Ignacio de",Basque Country; Seville
"Iriarte, Juan de",San Sebastián
"Iriarte, Valero (or Valerio)",Madrid
"Iribarne, Juan Francisco de",Saragossa; Valladolid
"Irureta Artola, Alejandrino",Basque Country
"Isabel de Borbón (Reina de España), [S.M.] (Doña)",
"Isern Solé, Ramon",Barcelona
"Isern, Ramon",Barcelona
"Isla, Diego de",Galicia
"Ismael, Juan (or Joan)",Canary Islands
"Iturrino, Francisco (or Francesc, or Francesco)",Santander
"Izquierdo Cid, Carlos",Barcelona
"Izquierdo Garrido, Ramón José",Andalusia
"Izquierdo y Vivas, Mariano",Madrid
"Izquierdo, Pedro","Estella, Los Arcos"
"Izquierdo, Vicente",Segorbe
"Jaca, Bernardo de",Aragon and Avignon
Jacobo Florentino,Murcia
"Jacobo, Master",Aragon
Jacomart,Valencia
"Jadraque y Sánchez-Ocaña, Miguel",Castile
"Jaén, Bartolomé (or Bartolomés) de",Andalusia
"Jaén, Fernando de",Castile
"Jaldón, J.R.",
"Jamete, Esteban",Andalusia; Castile-La Mancha
"Jansana de Anzizu, Josep Oriol (or José Oriol)",Barcelona
"Jaraba Jiménez, Enrique",Málaga
"Jardines, Antonio",
"Jardines, José María",Cádiz
"Jareño y Alarcón, Francisco",Madrid; Valencia
"Jaspe Moscoso, Antonio María",Galicia
"Jáuregui, Juan de",Seville
"Jaureguizar, Elíezer (or Eliecer)",Cantabria
"Jener Carreras, Eduard (or Eduardo)",Barcelona
"Jiménez Aranda, José",Seville
"Jiménez Aranda, Luis",Seville
"Jiménez de Cisneros, Eugenio",
"Jiménez Donoso, José",Toledo; Madrid
"Jiménez Fernández, Federico",Madrid
"Jiménez Fernández, José",Madrid
"Jiménez I, Diego",La Rioja; Navarre
"Jiménez II, Diego",Logroño
"Jiménez Martín, Juan",Madrid
"Jiménez Maza, Francisco",Aragon
"Jiménez Pez, Marino",Jaén
"Jiménez Prieto, Manuel",Seville
"Jiménez, Antonio",Murcia; Madrid
"Jiménez, Guillermo",La Coruña
"Jiménez, José",
"Jiménez, Juan Miguel",Granada
"Jiménez, Miguel",Madrid
Joan,Catalonia
"Joan, Antoni",Catalonia
"Joan, Pere (or Pedro)",Barcelona; Aragon
Johannes Hispanus,Valencia
"Joly, Gabriel",Aragon
"Jordán, Esteban",Valladolid; León
"Jordán, Francisco",
Jordi de Déu,Catalonia
"Jou Francisco, Pere (or Pedro)",Barcelona
"Jover Casanova, Francisco",Alicante; Madrid
Juan de Burgos,Burgos
Juan Francés,Castile
"Juan, Deacon",León
"Juan, Master",
"Juanes, Juan (or Joan) de",Valencia
"Jubany Carreras, Francesc (or Francisco)",Barcelona
"Juderías Caballero, Máximo",Saragossa; Madrid
"Juez Nieto, Antonio",Estremadura
"Juliá Entraigues, Rafael",Madrid
"Juliá Ventura, Francesc (or Francisco)",Barcelona
"Juliá y Carrere, Luis",Madrid
"Juliá, Andreu (or Andrés)",Tortosa
"Juliá, Ascensio (or Ascencio, or Asencio, or Asensi, or Asensio)",
"Juliá, Joan (or Juan)",
"Juliana Albert, Josep (or José)",Barcelona
"Julibert Gual, Joaquim (or Joaquín)",
"Juncosa, Fray Joaquín (or Joaquim)",Catalonia
"Juncosa, Josep (or José, or Josef)",Tarragona
"Juni, Isaac de",Valladolid
"Juni, Juan de",
"Junoy Muns, Josep Maria",Catalonia
"Junquera Lavín, Augusto",Asturias; Madrid
"Junyent Sans, Oleguer (or Olegario)",Barcelona
"Junyent Sans, Sebastià (or Sebastián)",Barcelona
"Junyer Pascual-Fibla, Joan",
"Junyer Vidal, Sebastià (or Sebastián)",Catalonia
Jusquín,
"Just, Alfredo",Valencia
"Justé, Javier",Valencia
"Kaperotxipi, Mauricio Flores",Basque Country
"Kuntz y Valentini, Pedro",Madrid and Seville
"Labarta Planas, Francesc (or Francisco)",Barcelona
"Labayen, Joaquín",Guipúzcoa
"Labrada Martín, Fernando",Málaga
"Labrador, José María",Andalusia
"Lacárcel Aparici, Félix",Valencia; Seville
"Lacoma Fontanet, Francesc (or Francisco)",Barcelona
"Lacoma Sans, Francesc (or Francisco)",Catalonia
"Ladernosa, Bartomeu (or Bartolomé)",Vich
"Lafita, José",Seville
"Laforet Alfaro, Eduardo",
"Lafuente Sansano, Jaime",Valencia
"Lafuente Tobeñas, Félix",Aragon
"Lafuente y Castell, Eugenio",
"Lafuente, Ramiro",Madrid
"Lagar, Celso (or Cels)",Catalonia
"Lago Rivera, Antonio",La Coruña; Madrid
"Laguardia, Jorge",Andalusia
"Laguardia, Juan de",Navarre
"Laguna Pérez, José",
"Lagunas, Santiago",Saragossa
"Lahosa Valimanya, Joan",Catalonia
"Lahoz Valle, Manuel",Aragon; Barcelona
"Lahuerta, Genaro (or Genard, or Gerero)",Valencia
"Laiz Campos, Emilio",Castile
"Lambla, Julio",Madrid
"Lameyer Berenguer, Francisco",Cádiz; Madrid
"Lamolla, Antoni G. (or Antonio G.)",Catalonia
"Lana, Jaime",Aragon
"Lanchares, Antonio",Madrid
"Lancrín, Mateo",Castile-Leon
"Landa Uriarte, Juan José",Basque Country
"Landa, Juan",Navarre
"Lantada Bucy, Jesús",Castile
"Lanz González, Hermenegildo",Seville
"Lapayese Bruna, José",Aragon; Madrid; Barcelona
"Laporta Astort, Ramon",Barcelona
"Laporta Valor, Enrique",Valencia
"Laporta Valor, Francisco (or Francesc)",Valencia; Barcelona
"Lara y García, Eustasio",Madrid
"Laredo, Manuel",Castile
"Larmig, Luis",
"Larraga Montaner, Andrés (or Andreu)",Barcelona
"Lárraga, Apolinario (or Apolinar)",Valencia
"Larrauri Marquínez, José Mateo",Santiago de Compostela
"Larraz, Carlos",
"Larrea y Goizueta, Jerónimo de",Basque Country
"Larrea, Lope de",Alava; La Rioja; Navarre
"Larrocha González, José",Granada
"Larroque, Angel",Basque Country
"Lasaosa, Pedro",Aragon
"Lasarte de Janer, Erasme de",Barcelona
"Lasso, Francisco",
"Latorre Viedma, Rafael",Andalusia
"Lavilla, Nemesio",Asturias
"Lázaro Lozano, Bonifacio",
"Lazcano, Miguel de",Navarre
"Lecuona Echániz, Antonio María de",Basque Country
"Lecuona, Sebastián de",Guipúzcoa
"Ledesma, Blas de",Granada
"Ledesma, José de",Castile
"Leemans Dobbeleere, Jean Humbert",Barcelona
"Legot, Pablo",Andalusia
"Legua Ibáñez, Francisco",Valencia
"Lema y Rozones, Manuel de",Seville
"Lembrí, Pere (or Pedro)",Valencia
"Lemus y Olmo, Eugenio",Cantabria
"Lengo Martínez, Horacio",Málaga
Leodegarius,Navarra and Aragon
"León Astruc, Manuel",
"León Callejas, Vicente",Granada
"León Escosura, Ignacio de",Asturias and Castile
"León Marco, Julià (or Julián)",Barcelona
"León, Cristóbal",Seville
"León, Francisco de",
"León, Rafael de",Castile
"León, Rodrigo de",Córdoba
"León, School of, Anonymous Painters of",
"Leon, School of, Anonymous Sculptors of",
"Leonardo, Jusepe (or José)",Aragon; Madrid
"Leoni, Miguel Angel (or Michelangelo)",
"Leoni, Pompeo (or Pompeyo)",
"Lérida, School of, Anonymous Painters of",
"Lérida, School of, Anonymous Sculptors of",
"Les Bustamante, Santiago de",Valencia; Madrid
"Letamendi de Manjarrés, Josép (or José) de",Barcelona; Madrid
"Leví, Guillén de",Aragon
"Leví, Juan de",Aragon
"Lezcano, Carlos",Madrid
"Lhardy Garrigues, Agustín (or Augustin)",
"Liaño, Felipe de",Madrid
"Licalde, Juan de",Madrid
"Liceire, Juan de",Aragon
"Linares Blasco, Martí Genís",Valencia
"Linares Blasco, Pere Genís",Valencia
"Linares, Francisco de",Toledo; Valencia
"Linares, Genís",Valencia
"Linde, Paulino de la",Granada
"Lizcano Monedero, Angel",Castile-La Mancha
"Lizona, Francisco de",Castile
"Llácer Valdermont, Francisco",Valencia
"Llaneces, José",Madrid
"Llanos Valdés, Sebastián (or Sebastiano) de",Seville
"Llanos, Fernando (or Ferrando) de",Valencia
"Llasera Díaz, José",
"Llauradó, Abelardo",
"Llauradó, Martí (or Martín)",Catalonia
"Llavanera, Marià (or Marian, or Mariano)",Gerona
"Llavata Machinant, Luis",Valencia
"Llaverias, Joan (or Juan)",
"Lleó Arnau, Lluís (or Luis)",Barcelona
"Lleó e Ibars, Trino",Valencia
"Lleonart, Benito",Valencia
"Llimona Benet, Rafael",Barcelona
"Llimona Bruguera, Joan (or Juan)",Barcelona
"Llimona Bruguera, Josep (or José)",Barcelona
"Llimona i Raymat, Enric",Barcelona
"Llimona i Raymat, Mercè (or Mercedes)",
"Llimona i Raymat, Núria",
"Llisas, Ramon",Barcelona
"Llobet Banús, Tomás",Barcelona
"Llongarriu, Salvador",
"Llonye, Antoni (or Antonio)",Catalonia
"Llop Marquès, Francesc (or Francisco)",
"Llopis de Casades, Josep Maria (or José María)",Barcelona
"Llor Casanovas, Joan (or Juan)",Tarragona
"Llorens Artigas, Josep (or José, or Joseph)",
"Lloréns Díaz, Francisco (or Francesc)",Galicia
"Llorens Masdéu, Eduard",Barcelona
"Lloréns the Elder, Cristóbal",Valencia
"Lloréns the Younger, Cristóbal",Valencia
"Lloréns, Cristóbal",Valencia
"Llorens, Gaspar",Balearic Islands
"Llorente Germán, Bernardo",Seville
"Llovera Bofill, Josep (or José)",Barcelona
"Lloveras Herrera, Frederic (or Federico)",Barcelona
"Llovet Miserol, Ramon",
"Lluch, Vicente",Valencia
"Lluís, Joan",Catalonia
"Loarte, Alejandro (or Alessandro, or Alexander, or Alexandro) de",Toledo; Madrid
"Lobo y Goya, Antonio",
"Lobo, Baltasar (or Baltazar, or Balthazar)",Zamora
"Loert, Joan (or Jean, or Juan)",Balearic Islands
"Logón, Agustín",Castille
"Lombard, Raimon",Catalonia
"Longa, Lucas de",Basque Country
"Longoria y Leal, Manuel",
"López Aguado, Antonio",Madrid
"López Aguado, Martín",Castile
"López Cabrera, Ricardo",Seville
"López Caro, Francisco",Seville
"López de Ayala, Manuel",Castile
"López de Escuriaz, Diego",Castile
"López de Gámiz, Pedro",Castile-Leon
"López de Montenegro y Tejada, Antonio",Madrid
"López de Velasco, Juan",Jaén
"López del Plano, Eduardo",Aragon
"López Enguídanos, José",Valencia and Castile
"López Enguídanos, Tomás",Valencia and Castile
"López Fernández, Rogelio",Barcelona; Cádiz
"López García del Corral, Diego",Andalusia
"López García, Juan Luis",Galicia
"López Gil, Manuel",Andalusia
"López Maza, Juan",
"López Mezquita, José María",Granada
"López Muñoz, Ramón",Barcelona
"López Oliver, Mateu",Palma de Mallorca
"López Piquer, Bernardo",Valencia; Madrid
"López Piquer, Luis",Valencia
"López Polanco, Andrés",Madrid
"López Portaña, Vicente (or Vicent, or Vincente)",Valencia; Madrid
"López Redondo, Carlos",Almería; Madrid
"López Rubio, Francisco",Granada
"López Ruiz, Manuel",Andalusia
"López Torres, Antonio",Ciudad Real
"López y Martínez, Enrique",Madrid
"López, Andrés",Segovia
"López, Cándido",
"López, Cristóbal José",Seville
"López, Diego",Seville
"López, Diego",Seville
"López, Diego",Castile-Leon
"López, Francisco",Madrid
"López, Francisco",Seville
"López, Francisco",Madrid
"López, Gáspar (or Gasparo)",
"López, José (or Josef)",Seville
"López, Mateu",Palma de Mallorca
"López-Rey, Lucio",Madrid
"López-Roberts y Muguiro, María de los Angeles",Madrid
"Lorda, José María",Saragossa
"Lorente, Félix",Valencia
"Lorente, Francisco",
"Lorenzale Rogent, Ramir (or Ramiro)",Catalonia
"Lorenzale Sugrañes, Claudí (or Claudio)",Catalonia
"Lorenzo Solís, José de",Bilbao
"Losada y Arce, ?",
"Losada, Manuel",Bilbao
"Loygorri, José",Madrid
"Lozano Losilla, Luis",Madrid
"Lozano Sanchís, Francisco",Valencia
"Lozano Serrano, Julián",
"Lozano Sidro, Adolfo",Andalusia
"Lozano Sirgo, Isidoro Santos",Logroño; Madrid; Toledo
"Lozano y Rodríguez, Eduardo",Madrid
"Lucas Velázquez, Eugenio",Madrid
"Lucas Villamil, Eugenio",Madrid
"Lucas Villamil, Julián",Madrid
"Lucena y Borraras, T.",Seville
"Lucena, Diego de",Madrid
"Lucenti de Correggio, Gerolamo",Seville; Granada
"Lucini Biderman, Eusebio (or Eusebì)",Barcelona; Madrid
"Lucini, Francesco (or Francesc, or Francisco)",Barcelona
"Lucini, Giuseppe (or José, or Josep)",Barcelona; Madrid; Valencia
"Ludeña, Angel Lucio",Toledo
Lugris,
"Luisadas, Augusto",
"Luján Pérez, José",Canary Islands
"Luna Novicio, Juan",
"Luna, Miguel de",Andalusia
"Lupi, Miguel Angel (or Angelo)",
"Lupiáñez Carrasco, José",Málaga
"Luque Roselló, Joaquín",Málaga
"Lussa, Domingo de",Pamplona
"Luzán Martínez, José",Saragossa
"Macho, Victorio",Castile
"Machuca, Pedro",Castile; Andalusia
"Maçip the Younger, Vicente Juan (or Vicente Joan, or Vicente Joanes)",Valencia
"Macip, Margarita",
"Macip, Vicente (or Vicent)",Valencia
"Madrazo y Agudo, José de",
"Madrazo y Garreta, Raimundo (or Raimondo) de",
"Madrazo y Garreta, Ricardo de",
"Madrazo y Kuntz, Federico  (or Federigo, or Frederico) de",Madrid
"Madrazo y Kuntz, Luis de",Castile
"Madrazo y Kuntz, Pedro de",
"Madrazo y López de Calle, Mariano de",
"Madrazo y Ochoa, Federico de",Madrid
"Madrid Roberts, Roberto",Madrid
"Madrid, School of, Anonymous Painters of",
"Madrid, School of, Anonymous Sculptors of",
"Maea, Antonio",
"Maea, José",Valencia
"Maeda, Asensio (or Acensio) de",Andalusia
"Maeda, Juan de",Andalusia
"Maella, Mariano",
"Maella, Mariano Salvador",Valencia; Madrid
"Maestrazgo, School of, Anonymous Painters of",
"Maestrazgo, School of, Anonymous Sculptors of",
"Maeztu y Whitney, Gustavo de",Basque Country
"Maeztu, Francisco de",La Rioja
"Maffei Rosal, Antonio",
"Maffei Rosal, Francisco",Madrid
Magius,León
"Maicas Puigardeu, Vicenç (or Vicente)",Barcelona
"Maino, Fray Juan Bautista",Toledo; Madrid
"Majorcan School, Anonymous Painters of",
"Majorcan School, Anonymous Sculptors of",
"Maldonado Rodríguez, Manuel",
"Malinas, Juan (or Joan) de",
"Malla, Gaudencio",
"Mallafré Guasch, Lluís (or Luis)",Catalonia
"Mallo, Cristino",Galicia; Madrid
"Mallol Casanovas, Ignasi (or Ignacio)",Catalonia
"Mallol Suazo, Josep Maria (or José María)",Catalonia
"Mañá Hernández, Samuel",Catalonia
"Manalt, Antoni (or Antonio)",Barcelona
"Mañanós Martínez, Asterio",Madrid
"Manaut Viglietti, José",Valencia; Madrid
"Mandilego, Matías",Palma de Mallorca
"Manero Miguel, Luis",Burgos
"Maní Roig, Carlos (or Carles)",Catalonia
"Manresa, Guillem de",Catalonia
"Manresa, José María",Murcia; Madrid
"Manzanet, Ricardo",Valencia; Barcelona
"Manzano y Mejorada, Víctor",Madrid
"Maortua Lombera, José María",
"Marcé Martí, Joan (or Juan)",Catalonia
"Marced Furió, José",Valencia
"March Marco, Vicente (or Vincente)",Valencia
"March, Esteban",Valencia
"March, Miguel",Valencia
"Marco Díaz-Pintado, Francisco",Valencia
"Marco Ferrer, Ernesto (or Ernest)",Valencia
"Marco Pérez, Luis",Valencia
"Marco, Sixto",Valencia
Marcos de Vilanova,Catalonia
"Marès Deulovol, Frederic (or Federico)",Gerona
"Margalef Palacín, Josep (or José)",Barcelona
"Marí Ribas, Antoni (or Antonio)",Balearic Islands
"María Cristina de Borbón (Infanta de España), [S.A.R.] (Doña)",
"María de la Paz de Borbón (Infanta de España), [S.A.R.] (Doña)",
"María Eulalia de Borbón (Infanta de España), [S.A.R.] (Doña)",
"María Luisa de Parma (Reina de España), [S.M.] (Doña)",
"María Luisa Fernanda de Borbón (Infanta de España), [S.A.R.] (Doña)",
"Mariano, Baltasar",
"Marín Bagüés, Francisco (or Francesc)",Saragossa; Barcelona
"Marín Baldo, José",Murcia
"Marín Garés, Isidoro",Granada
"Marín Higuero, Enrique",Andalusia
"Marín López, Diego",Granada
"Marín Ramos, Eustaquio",Seville
"Marín, Juan",Seville; Cádiz
"Marinas García, Aniceto",Castile and Segovia
"Marinas, Enrique (or Henrique) de las",Cádiz
"Marinel.lo Capdevila, Antoni",Barcelona
"Marinel.lo Capdevila, Ramon",Catalonia
"Marqués Castellar, Antoní (or Antonio)",Barcelona
"Marquès Garcia, Josep Maria (or José María)",Catalonia
"Marquès Puig, Josep Maria (or José María)",Barcelona
"Márquez, Esteban",
"Marras, Juan",
"Marsà Figueras, Francesc (or Francisco)",Catalonia
"Marsillach Codony, Joaquim (or Joaquín)",Catalonia
"Martí Aguiló, Ricard (or Ricardo)",Barcelona
"Martí Alsina, Ramon",Barcelona
"Martí Caballero, Ramon",Barcelona
"Martí Cabrer, Manuel",Barcelona
"Martí Garcés de Marcilla, Josep Maria de (or José María)",Madrid; Barcelona; Lérida
"Martí Gras, Lluís (or Luis)",Barcelona
"Martí Jordana, Josep Maria",Barcelona
"Martí Sabé, Josep",Catalonia
"Martí y Monsó, José",Valladolid
"Martí, Antoni (or Antonio)",Barcelona
"Martí, Francesc (or Francesch)",Balearic Islands
"Martiarena Lascurain, Ascensio",Basque Country
"Martín Bueno, Joaquín",Madrid
"Martín González, Julio",Barcelona
"Martín González, Manuel",Canary Islands
"Martín Laurel, Eugenio",
"Martín Rebollo, Tomás",Andalusia
"Martín Riesco, Elías",Castile
"Martín, Enrique",Málaga
"Martínez Abad, Simón",Navarre
"Martínez Abades, Juan",Asturias; Madrid
"Martínez Almeida, Carlos",
"Martínez Andrés, Antonio",Madrid
"Martínez Bueno, Leonardo",
"Martínez Cabezas, Arturo",Barcelona
"Martínez Checa, Fernando",Valencia; Madrid
"Martínez Cubells y Ruiz, Enrique",Valencia
"Martínez Cubells, Salvador",Valencia
"Martínez de Aranda, Ginés (or Ginez)",Andalusia; Galicia
"Martínez de Aroso, Diego (?)",
"Martínez de Bustos, Ambrosio",Granada
"Martínez de Castañeda, Pedro",Toledo
"Martínez de Espinosa, Juan José",Cádiz
"Martínez de Gradilla, Juan",Seville
"Martínez de la Vega, Joaquín",Andalusia
"Martínez de los Corrales, Juan",
"Martínez de Salazar, Ginés",Granada
"Martínez de Ubago y Lizárraga, Manuel",Saragossa; Navarre
"Martínez del Rincón y Trives, Serafín",Andalusia; Castile
"Martínez Díaz, Rafael",
"Martínez Espinosa, Antonio",Navarre
"Martínez Gil, José Eugenio",Madrid
"Martínez Jerez, Miguel",Andalusia
"Martínez Linares, Ginés",Andalusia
"Martínez Martín, Santiago",Seville
"Martínez Montañés, Juan",Andalusia
"Martínez Ortiz de Zárate, Nicolás",Basque Country
"Martínez Padilla, Rafael",Barcelona
"Martínez Penella, Antonio",Valencia
"Martínez Pozo, Juan",Murcia; Madrid
"Martínez Repullés, José Luis",
"Martínez Rubio, Fernando",Madrid
"Martínez Salamanca, Lázaro",Barcelona
"Martínez Sierra, Benito Jesús",
"Martínez Tarrassó, Casimir (or Casimiro)",Barcelona
"Martínez the Elder, Francisco",Valladolid
"Martínez the Elder, Ginés",Andalusia
"Martínez Vázquez, Eduardo",Madrid
"Martínez Victoria, José",Granada
"Martínez Vilela, Rafael",Galicia
"Martínez y Espinosa, Francisco",Valladolid
"Martínez y Espinosa, Gregorio",
"Martínez y Ordóñez, Francisco",Valladolid
"Martínez y Vargas Machuca, Luis",Madrid
"Martínez Yago, Francisco",Valencia
"Martínez, Alfonso",Seville; Cádiz
"Martínez, Alvar (or Albar)",Toledo
"Martínez, Antonio",Valladolid
"Martínez, Antonio (or Antonius)",Madrid
"Martínez, Crisóstomo (or Chrisóstomo)",Valencia
"Martínez, Domingo",Seville
"Martínez, Francisco",Andalusia
"Martínez, G.",Catalonia-Aragon
"Martínez, Ginés",Andalusia
"Martínez, Jerónimo",
"Martínez, (Fray) José",Aragon
"Martínez, Jusepe (or Iusepe, or José, or Joseph)",Aragon
"Martínez, Lluís (or Luis)",Catalonia
"Martínez, Sebastián (or Sebastiano)",Andalusia
"Martínez, Tomás",Seville
"Martínez, Tomás",Seville
Martinus,
"Martorell II, Bernat (or Bernardo)",
"Martorell, Bernat (or Bernard, or Bernardo)",Catalonia
"Martorell, Miquel (or Miguel)",Catalonia
"Martos Ortiz, Rufino",Andalusia
"Marzal de Sas, Andrés",Valencia and Mallorca
"Marzo, Andrés",Valencia
"Mas i Fondevila, Arcadi (or Arcadio)",Barcelona
"Mas Mas, Ramon",Barcelona
"Mas y Carrasco, Francisco",Valencia; Madrid
"Mascort Galibern, Josep Maria (or José María)",Barcelona
"Maside, Carlos",Galicia
"Masó de Falp, Felip (or Felipe)",Catalonia
"Maspóns Ortega, Alejandro",Barcelona
"Masriera Manovens, Francesc (or Francisco)",Barcelona
"Masriera Manovens, Josep (or José)",Barcelona
"Masriera Rosés, Lluís (or Luis)",Barcelona
"Masriera Vila, Víctor",
"Massanet, Joan (or Juan)",Catalonia
Master of 1342,Catalonia
Master A,Castile
Master of Agreda,Aragon; Navarre
Master of Albalate del Arzobispo,Aragon
Master of Albocàsser,Catalonia
Master of Alcira,Valencia
Master Alejo,Castile
Master Alexander of Roussillon,
Master of Alfajarín,Aragon
Master Alfonso,
Master of Alforja,Catalonia
Master of All,Catalonia
Master Alonso of Toledo,Toledo
Master Aloy,Catalonia
Master of Altura,Valencia
Master of the Anaemic Figures,Catalonia
Master of Andorra,Catalonia
Master of the Arcàngels,Catalonia
Master of Argaño,Burgos
Master of Arguis,Aragon
Master of the Armaduras,Castile
Master of Artáiz,Navarre
Master of Artajona,Navarre
Master of Artés,Valencia
Master of Astorga,León
Master of Avià,Catalonia
Master of Avila,Avila
Master B,Castile
Master of Bacri,Aragon
Master of Badalona,Catalonia
Master of Bagüés,Aragon
Master of Balaguer,Catalonia
Master of the Balbases,Burgos
Master of Baltarga,
Master of Baltimore,Catalonia
Master of the Bancal de les Santes,Valencia
