"Pujolar, Concepció",1928,1928
"Pulgar, Aurora",1839,1839
"Puñonrostro, Rosalía",1881,1881
"Querol Masats, Elisa de",1906-1908,1906-1908
"Quesada, María de la Concepción",1858,1858
"Rafael Sánchez, María",1901-1906,1901-1906
"Ramírez de Arellano, Adelaida (or Adela)",1862,1862
"Ramírez de Villaurrutia, Guadalupe",1844,1844
"Revenga, María",1901,1974
"Revilla, Teodora",1866,1866
"Riera, María",1804-op.1837,1804-op.1837
"Riera, Maria",1910-1911,1910-1911
"Risueño Rodrigo, Anna (or Agna)",1897,1923
"Riu Sanuy, Francisca",1910,1910
"Riva, Irene de la",1920,1920
"Roca, Dolors (or Dolores)",1928,1928
"Rocafull, Enriqueta",1879,1879
"Rodero y Gregory, Francisca",1897,1897
"Rodrigo y Medina, María Luisa",1887,1887
"Rodríguez de Rivera y Apezteguía, María",1890-1903,1890-1903
"Rodríguez de Toro, Luisa",1856-1860,1856-1860
"Rodríguez, Dolores",1875-1901,1875-1901
"Rodríguez, Elvira",1906,1906
"Rodríguez, María",1882-1901,1882-1901
"Romero de Robles Paro, Encarnación",1895,1895
"Romero Larrañaga, Esperanza",1876-1881,1876-1881
"Romero, Esperanza",1887,1887
"Rosselló Estela, Maria",1913,1944
"Rostán, Adriana",1819,1858
"Ruiz Martínez, Rosa",1908,1951
"Sánchez-Gavito y Perdomo, María Teresa",1918,1957
"Sans Jordi, Margarida (or Margarita)",1911,1976
"Serraviñals Furió, Josefa (or Josepa)",1899,1933
"Solanes, María Cinta",1917,1951
"Taylor, María A.",1858,1858
"Ugarte y Marraco, Josefa",1868,1868
"Vela Murillo, Consuelo",1887,1887
"Velarde, Condesa de",1884,1884
"Velasco Belausteguigoitia, Rosario",1910,1988
"Vidal Nolla, Teresa",1902,1952
"Vidiella Galindo, Ramona",1898-op.1908,1898-op.1908
"Villarroya, Emilia",1885-op.1902,1885-op.1902
"Vives, Carmen",1910,1960
"Yáñez de Santa Cruz, Marta",1871,1871
"Abadías de Santolarios, León",1842,1883
"Acevedo, José",1850-op.1905,1850-op.1905
"Acha, Juan Antonio de",1908,1951
"Adelantado, Fernando",1895-1901,1895-1901
"Agramunt, Agustín (or Augustin)",1906,1937
"Aguado García, Joaquín",1894,1930
"Aguado y Guerra, José",1892,1905
"Aguila Acosta, A[dolfo]",1858-op.1901,1858-op.1901
"Aguilar Casado, Antonio",1904-1909,1904-1909
"Aguilera Martí, José (or Josep)",1882,1944
"Aguiló Tosca, Ataulfo (or Ataülf)",1912,1944
"Alangua Puchet, Julián",1943-1950,1943-1950
"Alarcón Suárez, José",1871-1886,1871-1886
"Alarcón, Félix",1840,1911
"Alba y Massa, Eduardo de",1895,1900
"Alba y Rodríguez, Enrique de",1876-1882,1876-1882
"Albizu, Enrique",1927,1956
"Alcoverro y López, José",1899-1908,1899-1908
"Aldaz y Sancho, Juan",1885-1910,1885-1910
"Aleas Rodríguez, José",1895-1899,1895-1899
"Alemani Font, Trinidad",1894,1894
"Alexander, Enrique (or Enric)",1894,1894
"Alexandre, Alejandro",1925,1951
"Algueró Nicoli, Pedro",1897-1904,1897-1904
"Almagro López, Juan",1824,1824
"Almela Costa, José María (or Josep María)",1900,1980
"Almuni Gol, Francesc (or Francesco, or Francisco)",1903,1944
"Alonso, Angel",1871-op.a.1898,1871-op.a.1898
"Alonso, Mariano",1841,1841
"Alsina Cuxart, Lluís",1919-1936,1919-1936
"Alvarado de Rivas, Salvador",1893-1899,1893-1899
"Alvarez Algeciras, Germán",1871-1878,1871-1878
"Alvarez Armesto, Primitivo",1895-op.p.1905,1895-op.p.1905
"Alvarez Blanco, Rodrigo",1892-1895,1892-1895
"Alvarez de Estrada, Juan",1895,1951
