WNAM,FEM
"Murillo, Encarnació",Y
"Myrbach, Feliciá",Y
"Navarro Moreno, Aurelia",Y
"Nicolau Parody, Teresa",y
"Noguer, Josefina",Y
"Noriega, María del Milagro",Y
"Nostench de los Ríos, María Teresa",Y
"Notario y Merino, María",Y
"Nouvilas, Pilar",Y
"Núñez y López, Trinidad",Y
"O'Dena, Adelaida",Y
"Oliva, (Soror) Mencía de la",y
"Oller Rabassa, María",Y
"Oñate, Luisa",Y
"Orozco de Folache, Josefa Elisa",Y
"Ortega de Obregón, Agustina",Y
"Ortiz López, Concepción",Y
"Osés Hidalgo, Carmen (or Carme)",y
"Ovalle y Castañeda, María de",Y
"Oviedo, Antonia",Y
"Padró y Grané, Mercedes",Y
"Padrón Díaz, Lorenza",Y
"Palà Calvo, Joana (or Juana, or Juanita)",Y
"Palacios, Amparo",y
"Palou, María Ana",Y
"Panyó, María",Y
"Pardo Bazán, Emilia",Y
"Paredes y Ramírez, Angelina",Y
"Pareja, Amparo",Y
"Parés Mundi, Marina",Y
"Pascual Abad y Francés, Isabel",Y
"Pascual de Bonanza, Belén",Y
"Pastor y Vidal, Magdalena",Y
"Pastor, Angeles",Y
"Pastors, Manuela",Y
"Pedro, Aurora de",Y
"Pelfort, Rosa",Y
"Pellicer Martí, Flora",Y
"Pelufo, Matilde",Y
"Penzato Plusquín, Margarita",Y
"Perales, Amalia",Y
"Pérez Alemán, Regina",Y
"Pérez Ballester, Emilia",Y
"Pérez de Gracia, María de los Dolores",Y
"Pérez de la Rivera, Clotilde",Y
"Pérez Herrero, María Luisa",y
"Pérez, María de la Concepción",Y
"Pirala, María",y
"Pla, Teresa",Y
"Planas, Pilar",y
"Planell Poletti, Montserrat",Y
"Plenee, Llüisa (or Luisa) de",Y
"Poleró y García, Consuelo",Y
"Pomar Farriols, Paulina",Y
"Pons Cavaller, María del Rosario (or Roser)",Y
"Pons Iranzo, Elisabet (or Elisabeta)",y
"Portella Estrada, Pilar",Y
"Pozas, Magdalena",Y
"Prat Torres, Concepció (or Concepción, or Conxa)",Y
"Prats de Presas, Maria dels Dolors (or María de los  Dolores)",Y
"Prats Juani, Rosa",Y
"Prats Petit, Teresa",Y
"Puente, Concha de la",Y
"Puig Cisa, Teresa",y
"Puig de Marqués, Rosa",Y
"Puiggarí de Ulsamer, Julia",Y
"Puiggener y Sánchez, María Luisa",Y
"Puiggener, Lluïsa (or Luisa)",Y
"Pujolar, Concepció",Y
"Pulgar, Aurora",Y
"Puñonrostro, Rosalía",Y
"Puxan Carreras, Teresa",Y
"Querol Masats, Elisa de",Y
"Quesada, María de la Concepción",Y
"Rafael Sánchez, María",Y
"Ramírez de Arellano, Adelaida (or Adela)",Y
"Ramírez de Villaurrutia, Guadalupe",Y
"Revenga, María",y
"Revilla, Teodora",Y
"Riera, María",Y
"Riera, Maria",Y
"Risueño Rodrigo, Anna (or Agna)",Y
"Riu Sanuy, Francisca",Y
"Rius Sanny, Francisca",Y
"Riva de Muñoz, María Luisa de la",y
"Riva, Irene de la",Y
"Roca, Dolors (or Dolores)",Y
"Rocafull, Enriqueta",Y
"Rodero y Gregory, Francisca",Y
"Rodrigo y Medina, María Luisa",Y
"Rodríguez de Rivera y Apezteguía, María",Y
"Rodríguez de Toro, Luisa",Y
"Rodríguez, Dolores",Y
"Rodríguez, Elvira",Y
"Rodríguez, María",Y
"Roldán, Luisa",y
"Romero de Robles Paro, Encarnación",Y
"Romero Larrañaga, Esperanza",Y
"Romero, Esperanza",Y
"Rosales Martínez de Pedrosa, Carlota",Y
"Rosselló Estela, Maria",y
"Rostán, Adriana",Y
"Ruiz Martínez, Rosa",y
"Sacharoff, Olga",Y
"Salzillo y Alcaraz, Inés",Y
"Sánchez-Gavito y Perdomo, María Teresa",y
"Sans Jordi, Margarida (or Margarita)",y
"Santos Torroella, Angeles",Y
"Serraviñals Furió, Josefa (or Josepa)",y
"Solanes, María Cinta",y
"Taylor, María A.",Y
"Teixidor Torres, Josefa (or Josepa)",Y
"Torné Pujol, Trinitat (or Trinidad, or Trinidat)",y
"Ubach de Osés, Visitació (or Visitación)",Y
"Ugarte y Marraco, Josefa",Y
"Umbert, Micaela",Y
"Urrutia y Garchitorena, Ana Gertrudis de",Y
