WNAM,FEM
"Curet Paretas, Llorenç (or Lorenzo)",
"Curós Ventura, Jordi (or Jorge)",
"Cusachs Cusachs, Josep (or José)",
"Cusí Ferret, Manuel",
"Cutanda y Toraya, Vicente",
"Dalguayre, Benet (or Benito)",
"Dalí, Salvador",
"Dalmáu, Antoni (or Antonio, or Antonis)",
"Dalmáu, Lluís (or Ludovicus, or Luis)",
"Dalre Ambrosí, Carlos",
Danila,
"Dardanone, José",
Daros,
"Datsira Prunés, Joaquim (or Joaquín)",
"Daunas, Hermenegild (or Hermenegildo)",
"Daura, Pierre",
"Daurer, Joan (or Juan)",
"Davalillo Artigas, Carmel (or Carmelo)",
"Dávila, Fernando (or Ferrante)",
"Davo Rodríguez, Juan",
"Decraene, Florentino (or Florentín)",
"Delapuente, Fernando",
"Deleito, Andrés",
"Delgado Brackembury, Manuel",
"Delgado y Meneses, José",
"Delgado, Alvaro",
"Delgado, Juan",
"Delgado, Pedro",
"Delgado, Pedro",
"Delgado, Pedro",
"Delgado, Pedro",
"Delgado, Pedro",
"Delhom Rodríguez, Camilo",
"Demeces, M.",
"Demilavel, R.",
"Denis Belgrano, José",
"Destorrents [the Younger], Ramon",
"Destorrents, Rafael",
"Destorrents, Ramon",
"Díaz Alberro, Joaquín",
"Díaz Bueno, José",
"Díaz Caneja, Juan Manuel",
"Díaz Carreño, Francisco",
"Díaz Costa, Eusebi (or Eusebio)",
"Díaz de Burgos, Gómez",
"Díaz de la Cueva, Gonzalo",
"Díaz de Oviedo, Pedro",
"Díaz Domínguez, Angel",
"Díaz Gómez, Isaías",
"Díaz Huertas, Angel",
"Díaz Méndez, José Clemente",
"Díaz Minaya, Pedro",
"Díaz Olano, Ignacio",
"Díaz Pardo, Isaac",
"Díaz Valdés, Tomás",
"Díaz Valera, José",
Díaz Valle,
"Díaz y González, Vicente",
"Díaz y Sánchez, Angel",
"Díaz, Diego Antonio",
"Díaz, Diego Valentín",
"Díaz, Francisco",
"Díaz, Gonzalo",
Diego,
"Díez de Liatzasolo, Martín (or Martí)",
"Díez Ferreras, Diego",
"Díez Penades, José",
"Díez, Joaquín",
"Díez, Pedro (or Pere)",
"Dolívar, Juan (or Jean)",
"Domecq González, Manuel Jesús",
"Domecq, Cristian",
"Domènech Ferré, Eduard",
"Domènech i Montaner, Lluís (or Luis)",
"Domenge Antiga, Melcior (or Melchor)",
Domingo,
Domingo,
Domingo,
"Domingo Fallola, Roberto",
"Domingo Marqués, Francisco",
"Domingo Muñoz, José",
"Domingo Segura, Francesc (or Francesco)",
"Domingo, Benet",
"Domingo, Gregorio",
"Domingo, Luis (or Luiz, or Luys)",
"Domínguez Bécquer, Joaquín",
"Domínguez Bécquer, José",
"Domínguez Bécquer, Valeriano",
"Domínguez Meunier, Manuel",
"Domínguez Sánchez, Manuel",
"Domínguez, Oscar",
"Doncel, Guillén",
"Dorado, Manuel",
"Dorda Rodríguez, Enrique",
"Duarte, Angel",
"Duarte, José",
"Duce, Alberto",
"Dueñas y Zabala, Valentín",
"Dunyac Sala, Josep",
"Duque Cornejo, Pedro",
"Duque y Duque, Eugenio",
"Duque, Manuel",
"Durán Altamira, Ricardo (or Ricard)",
"Durán Castellanas, Jaime (or Jaume)",
Durán Fainé,
"Durán Riera, Josep (or José)",
"Durán, Luís María",
"Durán, Rafael",
"Durancamps Folguera, Rafael",
"Durand, Robert",
"Durbán Bielsa, Martín Ramón",
"Durrio y Madrón, Francisco",
"Echandi, Ignacio",
"Echeandía, Julio",
"Echena, José",
"Echevarría y Zuricalday, Juan de",
"Echevarría, Federico",
"Echevarría, José Atanasio",
"Eder y Gattens, Federico María",
"Ega, Pedro de",
"Egas the Younger, Enrique",
"Egas, Antón",
"Egas, Enrique (or Enric)",
"Egas, Pedro de",
"Egea y Marín, Juan",
"Egusquiza Barrena, Rogelio de",
"Elbo, José",
Eleno,
"Elías Bracons, Feliú (or Félix)",
"Elías Bracons, Francesc",
"Elías Bracons, Lluís",
"Elías Vallejo, Francisco",
"Elorriaga, Ramón de",
Emeterio,
Endura,
Eneco,
"Enrich, Juan (or Joan)",
Ericono,
"Eriz, Pedro",
"Escacena, José María",
"Escalante, Juan Antonio de Frías y",
"Escaler Milá, Lamberto (or Lambert)",
"Escolá, Salvador",
"Escribá García, Casimiro",
"Escrivá y Cantos, Fernando",
"Escuder Ferrer, Manuel",
"Escudero, Francisco",
"Espalargues [the Elder], Pere (or Pedro)",
"Espalargues [the Younger], Pere",
"Espalter Rull, Joaquim (or Joaquín)",
"Espartero, E.",
"Esparza y Pérez, Nicolás",
"Espí, Manuel",
"Espina y Capo, Juan",
"Espinabete, Felipe de",
"Espinal Armengol, Marià (or Marian, or Mariano)",
"Espinal, Gregorio",
"Espinal, Juan de",
"Espinós, Benito",
"Espinós, José",
"Espinós, José (or Ioseph, or Josef)",
Espinosa,
"Espinosa de Castro, Jacinto",
"Espinosa, Alonso de",
"Espinosa, Andrés de",
"Espinosa, Angel",
"Espinosa, Carlos",
"Espinosa, Francesc",
"Espinosa, Jerónimo Jacinto (or Jeroni Jacint) de",
"Espinosa, Jerónimo Rodríguez de",
"Espinosa, José",
"Espinosa, Juan Bautista",
"Espinosa, Juan Bautista (or Joannes Baptista)",
"Espinosa, Juan de",
"Espinosa, Juan de",
"Espinosa, Juan de",
"Espinosa, Miguel de",
"Espinosa, Miguel de",
"Esplandiu Peña, Juan",
"Esquert, Pablo",
"Esquivel Sotomayor, Manuel",
"Esquivel, Antonio María",
"Esquivel, Carlos María",
"Esquivel, Miguel de",
"Esquivel, Vicente",
"Estalella Pujolá, Ramón",
"Estany Capellá, Pedro (or Pere)",
"Esteban y Lozano, José",
"Esteban y Lozano, Víctor",
"Esteban, Juan",
"Esteban, Juan",
"Esteban, Juan",
"Esteban, Master",
"Estern y Enebras, [?]",
"Estevan y Vicente, Enrique",
"Estevan, Hermenegildo (or Hermengildo)",
"Esteve Bonet, José",
"Esteve Botey, Francisco (or Francesc)",
"Esteve Fuertes, Gabriel",
"Esteve Massaneda, Fernando (or Ferran)",
"Esteve y Vilella, José",
"Esteve y Vilella, Rafael",
"Esteve, Agustín",
"Esteve, Juan (or Joan)",
"Esteve, Miguel (or Miquel)",
"Estrada, Ignacio",
"Estrada, Juan",
"Estradera Fontdevila, Antonio (or Antoni)",
"Estrany Ros, Rafael",
"Estruch, José",
"Estruga Andreu, Oscar",
"Eusebi Valladares, Arturo",
"Eusebi, Luis (or Lluís)",
"Eximeno the Elder, Joaquín",
"Eximeno the Younger, Joaquín",
Eximino,
"Extremadura, School of, Anonymous Painters of",
"Extremadura, School of, Anonymous Sculptors of",
Ezpeleta,
"Ezpeleta, P.",
"Ezquerra del Bayo, Joaquín",
"Ezquerra, Jerónimo Antonio (or Gerónimo Antonio) de",
"Faber, Will (or Wilhelm)",
"Fabré Bertrand, Jordi (or Jorge)",
"Fabré Bestard, Fernando",
"Fabré, Jaume (or Jaime, or Jayme)",
"Fàbregas Ferrando, Josep Maria (or José María)",
"Fabregat, José Joaquín",
"Fabrés Costa, Antoni (or Antonio)",
"Factor, Beato Nicolás",
Facundo,
"Falcó III, Nicolás",
"Falcó the Elder, Nicolás",
"Falcó the Younger, Nicolás",
"Falero, Luis Ricardo (or Luis Riccardo) (Duque de Labranzano)",
"Fariña Alvarez, Alvaro",
"Farinós y Tortosa, Felipe",
"Farré París, Antonio (or Antoni)",
"Farreras Ricart, Francisco",
"Farriols González, Santiago",
"Feito López, Luis",
"Félez, Mariano",
"Felices, Alfredo",
"Felipe, Fray",
"Feliú de Lemus, Manuel",
"Fenollera Ibáñez, José María",
"Fenosa, Apel.les (or Apeles, or Apelles)",
"Ferau y Alsina, Enrique (or Enric)",
"Fernandes, Enrique (or Enrico)",
"Fernández el Labrador, Juan",
"Fernández Albalat, Andrés",
"Fernández Alemán, Jorge",
"Fernández Alvarado, José",
"Fernández Ardavín, César",
"Fernández Balbuena, Roberto",
"Fernández Barrio, Jesús",
"Fernández Carpio, Manuel",
"Fernández Copello, Mariano",
"Fernández Cruzado, Joaquín Manuel",
"Fernández Cuervo, Andrés",
"Fernández Cuesta y Palafox, Eusebio",
"Fernández Cuevas, Antonio",
"Fernández Cuevas, Telésforo",
"Fernández Curro, Antonio",
"Fernández de Córdoba, Pedro",
"Fernández de Guadalupe, Pedro",
"Fernández de la Oliva, Manuel",
"Fernández de Soto Subirana, Rafael",
"Fernández de Villasante, Julio Moisés (or Juli Moisés)",
"Fernández del Castillo, José Sixto",
"Fernández del Moral, Lesmes",
"Fernández Hidalgo, Eulalio",
"Fernández Marrero, Antonio",
"Fernández Martínez, Rafael",
"Fernández Mota, Fernando",
"Fernández Núñez, Rodrigo",
"Fernández Palazuelos, Joaquín",
"Fernández Pasajes, José Luis",
"Fernández Pescador, Eduardo",
"Fernández Rodríguez, Juan",
"Fernández Sanahuja, Manuel",
"Fernández Shaw, Casto",
"Fernández the Elder, Luis",
"Fernández the Younger, Luis",
"Fernández Torrado, Félix",
"Fernández Viana y Ugarte, Lorenzo",
"Fernández y Rodríguez, Silvio",
"Fernández, Alejo (or Alexo)",
"Fernández, Amalio",
"Fernández, Bartolomé",
"Fernández, Domingo",
"Fernández, Francisco",
"Fernández, Gregorio",
"Fernández, Juan",
"Fernández, Juan de Dios",
"Fernández, Luis",
"Fernández, Luis (or Louis)",
"Fernández, Nicolás",
"Fernández, Pedro",
"Fernández-Díaz, Rosy",
Fernando Juan,
"Ferrado, Cristóbal (or Christóval)",
"Ferrán Bayona, Manuel",
"Ferrán Pagés, Ramón",
"Ferrán Vallés, Adrià (or Adrián)",
"Ferrán, Antoni (or Antonio)",
"Ferrándiz Badenes, Bernardo (or Bernat)",
"Ferrándiz Llopis, Tomás",
"Ferrándiz Terán, Federico",
"Ferrando, Manuel",
"Ferrant Fischermans, Alejandro",
"Ferrant Llausás, Fernando (or Ferran)",
"Ferrant Llausás, Luis (or Lluís)",
"Ferrant Vázquez, Angel",
"Ferrara, H.",
"Ferrater y Feliú, Antonio (or Antoni) de",
"Ferré Ferré, Ramón",
"Ferré Revascall, Josep (or José)",
"Ferreira de la Torre, Carlos",
"Ferreiro, José",
"Ferrer [the Younger], Jaume (or Jaime)",
"Ferrer Alambillaga, Vicente",
"Ferrer Cabrera, Emilio",
"Ferrer Calatayud, Pedro",
"Ferrer Calatayud, Salvador",
"Ferrer Carbonell, Juan",
"Ferrer Comas, Eduardo (or Eduard)",
"Ferrer Corriol, Antonio (or Antoni) de",
"Ferrer Matas, Santiago",
"Ferrer Miró, Joan (or Juan)",
"Ferrer Pérez, Vicente",
"Ferrer Pinós, Agustí (or Agustín)",
"Ferrer Puig, Guillermo",
"Ferrer the Elder, Guillermo",
"Ferrer the Elder, Jaume",
"Ferrer the Elder, José",
"Ferrer the Younger, José",
"Ferrer y Pallejà, J.",
"Ferrer, Daniel",
"Ferrer, Francesc (or Francisco)",
"Ferrer, Guillermo (or Guillem)",
"Ferrer, Guillermo (or Guillem, or Guim)",
"Ferrer, José (or Joseph)",
"Ferrer, Tomás",
"Ferrer, Vicente",
"Ferrer, Vincentius",
"Férriz y Sicilia, Cristóbal (or Christobal)",
"Ferro Caaveiro, Lucas",
"Ferro, Gregorio",
Fidel,
"Fierros, Dionisio",
"Figuera, Joan (or Giovanni, or Juan)",
"Figueras Sanmartí, Alfred (or Alfredo)",
"Figueras Vila, Juan (or Joan)",
"Figueroa y Torres, Rodrigo de (Duque de Tovar)",
"Figueroa, Ambrosio de",
"Figueroa, Antonio Matías de",
"Figueroa, Leonardo de",
"Figueroa, M.",
"Figueroa, Matías José de",
"Fillol Granell, Antonio (or Antoni)",
"Fin, José (or Josep)",
"Fina Fernández, Guillem",
"Fiol Coll, Gabriel",
"Fisac, Miguel (or Miquel)",
"Flandes [the Elder], Juan de",
"Flandes the Younger, Juan de",
"Flandes, Pedro de",
"Flaugier, José Bernat (or José Bernardo, or Josep Bernat, or Joseph Bernard)",
"Fleitas Hernández, Plácido",
"Fló Guitart, Eduardo (or Eduard)",
Florencio,
"Florensa Arnús, Salvador",
"Florentino, Julián (or Juliano)",
"Flores Ibáñez, Eduardo",
"Flores, Maravillas",
"Flores, Pedro",
"Flórez, Antonio",
"Flórez, Francisco",
"Florido Berruelo, Enrique",
Floristán,
"Florit, José Luis",
"Flotats Canal, Lluís",
"Fluviá, Juan (or Joan)",
"Fluyxench y Trell, Miguel",
"Foix Villuendas, Lluís (or Luis)",
"Folch de Cardona, Francisco (or Francesco)",
"Folch Roca, Ramon",
"Folch y Costa, Jaime (or Jaume, or Jayme)",
"Folch y Costa, José Antonio (or Josep Antoni)",
"Folgueras Doiztúa, Cipriano",
"Folías, Juan Bautista",
"Fonseca y López de Vinuesa, Fernando",
"Font Barrera, Antonio",
"Font, Francisco (or Francesc)",
"Font, Juan (or Joan)",
"Fontaines, Pere (or Perris)",
"Fontanet Clec, Amadeu (or Amadeo)",
"Fontanet, Gil",
"Fontportal Martí, Lluís",
"Fonts Nogués, Andreu (or Andrés)",
"Forment, Damián (or Damià)",
"Forment, Joan",
"Fornas Martínez, Jordi",
"Fornells-Pla, Francesc (or Francisco)",
"Forner the Younger, Jaume (or Jaime)",
"Forner, Bartolomé (or Bartomeu)",
"Forner, Jaume (or Jaime)",
"Forner, Pere",
"Forns Romans, Rafael",
"Fort Galcerán, Juan (or Joan)",
"Fortuny y de Madrazo, Mariano",
"Fortuny y Marsal, Mariano (or Marià, or Marian)",
"Fraile Alcalde, Alfonso",
"Francés Llamazares, Agapito",
"Francés Mexía, Juan de Dios",
"Francés y Pascual, Plácido (or Placid)",
"Francés, Esteve (or Esteban)",
"Francia, Juan Bautista",
Francisquito,
"Franco Cordero, José",
"Franco Salinas, Luis (or Lluís)",
"Franco, Julio",
"Franquesa, Francisco (or Francesc)",
"Frau, José",
"Frau, Josep",
"Freixas Cortés, Jordi (or Jorge)",
"Freixas Vivó, Amadeu",
"Freixes Saurí, Joaquim (or Joaquín)",
"Fresno y Arroyo, Anselmo del",
"Fresquet, Guillem (or Guillermo)",
"Fruchel, Master",
Fructuoso,
"Frutet, Francisco (or Francesco, or Frans)",
"Fuente del Saz, Fray Julián de la",
"Fuente y Almazán, Luis (or Louis) de la",
"Fuente, Juan Leandro de la",
"Fuentes y Redondo, Ubaldo",
"Fuentes, Juan",
"Furió Kobs, Vicente",
"Furió, Ernesto",
"Fuxá y Leal, Manuel",
"Gabadi, Bernal (or Bernart) de",
"Gabino Pariente, Alfonso",
"Gabriel de Borbón (Infante de España), [S.A.R.] (Don)",
"Gaínza, Martín de",
"Gaiz Abascal, E.",
"Galbán, (Fray) José",
"Galbién Meseguer, Antonio",
"Galí Fabra, Francesc d'Assís (or Francisco de Asís)",
"Galiay, José",
"Galician School, Anonymous Painters of",
"Galician School, Anonymous Sculptors of",
"Galíndez, (Fray) Martín",
"Galindo, Federico",
"Gallardo Ruiz, Gustavo",
"Gallardo, Francisco",
"Gallardo, Luis",
"Gallardo, Luis (or Luiz)",
"Gallego Marquina, Jesús",
"Gallego y Alvarez, Domingo",
"Gallego, Fernando",
"Gallego, Francisco (or Francesco)",
"Gallegos y Arnosa, José",
"Gallel y Beltrán, José",
"Gallés Malats, Josep",
"Gallés Pujal, Sebastià (or Sebastián)",
"Gallissà i Soqué, Antoni Maria (or Antonio María)",
"Galofre Coma, Josep (or José)",
"Galofre Giménez, Baldomer (or Baldemiro, or Baldomero)",
"Galofre Oller, Francesc (or Francisco)",
"Galván y Candela, José María",
"Galván, Juan",
"Gálvez Roig, José",
"Gálvez, Juan",
"Gálvez, Pedro de",
"Galwey García, Enric (or Enrique)",
"Gambino, José (or Josef)",
"Gamborino, Miguel (or Miquel)",
"Gamoneda y García del Valle, José María",
"Gàndara Bonnín, Manuel",
"Gandàrias, Just (or Justo) de",
"Gandía, Juan de",
"Gárate, Juan José",
"Garay Arévalo, Manuel",
"Garay García, Luis",
"Garay Macua, Eloy",
"García Hispaleto, Manuel",
"García Hispaleto, Rafael",
"García Alegría, Fernando",
"García Asarta, Inocencio",
"García Barcia, Manuel",
"García Benito, Eduardo",
"García Bouzas, Miguel Antonio",
"García Bustamante, Luis",
García Cabré,
"García Camio, Pedro",
"García Carrió, Angel",
"García Chicano, José",
"García Condoy, Honorio",
"García Condoy, Julio",
"García de Benabarre, Pere (or Pedro)",
"García de Bouzas, Juan Antonio",
"García de la Cal, Francisco",
"García de Laguardia, Juan",
"García de Miranda, Juan",
"García de Santiago, Bartolomé",
"García de Santiago, Manuel",
"García del Corral, Federico (or Frederik)",
"García Díaz, Angel",
"García Espínola, Ramón",
"García Estragués, Francesc (or Francisco)",
"García Ferrer, (Mosén) Pedro",
"García González, Manuel",
"García Guijo, Rafael",
"García Gutiérrez, Julio",
"García Hidalgo, José (or Josef, or Joseph)",
"García Ibáñez, Francisco",
"García Junceda Supervia, Joan (or Juan)",
"García Lema, Pedro",
"García Lesmes, Aurelio",
"García López, Antonio",
"García Lorca, Federico",
"García Martínez, Emilio",
"García Martínez, Juan",
"García Melgarejo, Diego",
"García Mencia, Antonio",
"García Morales, Antonio",
"García Oliver, Luis (or Lluís)",
"García Ortiz, Francisco Javier",
"García Patiño, Mariano",
"García Prieto, Andrés",
"García Ramón, Leopoldo",
"García Ramos, José",
"García Ramos, Juan",
"García Reinoso, Antonio",
"García Rodríguez, Manuel",
"García Salazar, Miguel",
"García Salmerón, Cristóbal",
"García Sampedro, Luis",
"García Sampedro, Tomás",
"García Terán, Manuel",
"García Urturi, Felipe",
"García Vázquez, Sebastián",
"García Vilamala, Justo (or Just)",
"García y Alcázar, Lino",
"García y Díaz, Domingo",
"García y García, Juan José",
"García y García, Rafael",
"García y González del Valle, Agustín",
"García y Mas, Mariano",
"García, Alvar (or Alvaro)",
"García, Emmanuel",
"García, Fernando",
"García, Francisco",
"García, José (or Josef, or Joseph)",
"García, Juan",
"García, Jusepe",
"García, Martín",
"García, Martín",
"García, Nicolás",
"García, Pedro",
"Garcia, Uamado",
"Gargallo Guerrero, José",
"Gargallo, Pablo (or Pau)",
"Garí, Joan",
"Garnelo Fillol, Isidoro (or Isidro)",
"Garnelo Fillol, Jaime",
"Garnelo Gonzálvez, José Ramón",
"Garnelo y Alda, José (or Josep)",
"Garnelo y Alda, Manuel",
"Garrell Soto, Amador",
"Garrido Méndez, Ramón",
"Garrido, Eduardo León (or Edouard León)",
"Garrido, Fernando",
"Garrido, Leandro Ramón",
"Garrocha, J.",
"Garrote, Crisanto",
Garsea,
"Garseani, Enneco (or Eneco)",
"Garsia, Stephanus (or Stefanus)",
"Gärtner de la Peña, José",
"Garza, Ciriaco de la",
"Gasch, Luis",
"Gascó, Francesc (or Francesch, or Francisco)",
"Gascó, Joan (or Juan)",
"Gascó, Pere (or Pedro, or Perot)",
"Gascó, Sebastiá (or Sebastiano)",
"Gascón de Gotor, Anselmo",
"Gasis, Pedro",
"Gassies, Arnau (or Arnaldo)",
"Gastó Vilanova, Pere (or Pedro)",
"Gasull, Agustín",
"Gato de Lema, Carlos",
"Gatón, Joan (or Juan)",
"Gaucelm, Jalbert (or Jaubert)",
"Gaudí, Antoni (or Antonio)",
"Gaudí, Fra Lluís Pasqual",
"Gausachs Armengol, Josep (or José)",
"Gay, C.",
"Gayllard, Mateu",
"Gazo, Félix",
"Gener, Guerau",
"Gerona, School of, Anonymous Painters of",
"Gerona, School of, Anonymous Sculptors of",
"Gessa Arias, Sebastián",
"Giachineti González, Juan",
"Gibert Roig, Pau (or Pablo)",
"Gil Bergasa, Justino",
"Gil de Hontañón the Younger, Juan",
"Gil de Hontañón, Juan",
"Gil de Hontañón, Rodrigo",
"Gil de Mena, Felipe",
"Gil de Vicario, Luis (or Lluís)",
"Gil Gallango, Felipe",
"Gil García, Alfredo",
"Gil Gil, Joan (or Juan)",
"Gil Montejano, José Antonio",
"Gil Moreno de Mora, José Pedro",
"Gil Rey, Ramón",
"Gil Sala, Ignasi (or Ignacio)",
"Gil the Younger, José",
"Gil y Gavilondo, Isidro (or Isidoro)",
"Gil, Jerónimo Antonio",
"Gil, José",
"Gil, Juan Antonio",
"Gilabert Ponce, Luis",
"Gilabert, Antonio",
"Gilarte, Mateo (or Matheo)",
"Gili Roig, Baldomer (or Baldomero)",
"Gili, Jerónimo",
"Giménez Fernández de la Rosa, Magdalena",
"Giménez Giménez, Joan (or Juan)",
"Giménez Solà, Joaquim (or Joaquín)",
"Giménez Valls, Francesc (or Francisco)",
"Gimeno Arasa, Francesc (or Francisco)",
"Gimeno y Canencia, Eduardo",
"Gimeno y Carra, Vicente",
"Gimeno y Carrera, José Antonio",
"Gimeno, Andrés",
"Giner y Vidal, Carlos",
"Giner y Vidal, Vicente",
"Giner, Francisco",
"Giner, Gabriel",
"Giner, Juan",
"Giner, Tomás",
"Giner, Vicente",
"Ginés, José (or Joseph)",
"Ginjaume Lacampre, María",
Gino,
"Giráldez y Peñalver, Adolfo",
"Giraldo, Lucas",
"Giralt, Augustín",
"Giralte the Younger, Francisco",
"Giralte, Francisco",
"Girard, Pere (or Pedro)",
"Girbaut, Arnáu (or Arnaldo)",
"Gironella Rodó, Josep (or José)",
"Gisbert Pérez, Antonio",
"Godoy Castro, Federico",
"Goini, Miguel de",
"Gol Creus, Josep Maria (or José María)",
"Gomà Boronat, Ferran (or Fernando)",
"Gomar y Gomar, Antonio (or Antoni)",
"Gomar, Francesc (or Francesco, or Francí, or Francisco, or Françi)",
Gómez,
Gómez,
Gómez,
"Gómez Alarcón, Juan Angel",
"Gómez Cano, Antonio",
"Gómez Cros, Antonio",
"Gómez de Mora, Juan",
"Gómez de Orozco, Hernando",
"Gómez de Sandoval, Alonso",
"Gómez de Valencia, Felipe",
"Gómez de Valencia, Francisco",
"Gómez Gil, Guillermo",
"Gómez Gimeno, Ricardo",
"Gómez Lanzuela, Antonio",
"Gómez Martín, Eduardo",
"Gómez Mir, Eugenio",
"Gómez Moreno y González, Manuel",
"Gómez Niederleytner, Germán",
"Gómez Novella, Vicente",
"Gómez Pastor, Jacinto",
"Gómez Plasent, Vicente",
"Gómez Polo, Simó (or Simón)",
"Gómez Rodríguez, Jerónimo",
"Gómez Salvador, Constantino (or Constanti)",
"Gómez the Elder, Martín",
"Gómez the Younger, Martín",
"Gómez, Alvar",
"Gómez, G.",
"Gómez, Gabriel Osmundo",
"Gómez, J.",
"Gómez, Juan",
"Gómez, Sebastián",
"Gómez-Acebo Vázquez, Javier",
"Goñi, Lorenzo",
"Gonsalbo, Jaume",
"Gonsalbo, Ramón",
"Gontier, Bernat (or Bernardo)",
"Gontín, Alonso de",
"González Alvarez, Aníbal",
"González Arenal, Vidal",
"González Becerril, Juan",
"González Bernal, Juan José Luis",
"González Billón, José",
"González Bolívar, Pedro",
"González Carbonell, Rossend (or Rosendo)",
"González Cardemio, José",
"González Correa, Eduardo",
"González de Cedillo, Antonio",
"González de la Peña, José (Barón de Forna)",
"González de la Vega, Diego",
"González de San Pedro, Pedro (or Pero)",
"González del Blanco, Roberto",
"González Esmenota, Manuel",
"González Ferrández, Baltasar",
"González Gallego, Antonio",
"González García-Valladolid, Isidro",
"González Ibaseta, Joaquín",
"González Jiménez, José",
"González Lefort, Luis",
"González Macías, Francisco",
"González Méndez, Manuel",
"González Moreno, Juan",
"González Olóriz, Luis",
"González Pellicer, Joan (or Juan)",
"González Pola, Julio",
"González Prieto, Fermín",
"González Ruiz, Antonio",
"González Ruiz, Daniel",
"González Sáenz, Rafael",
"González Santana, Manuel",
"González Santos, Manuel",
"González Sevilla, Joan (or Juan)",
"González Suárez, Antonio",
"González Tavé, Federico",
"González Velázquez the Younger, Antonio",
"González Velázquez, Alejandro (or Alexander, or Alexandro)",
"González Velázquez, Antonio",
"González Velázquez, Castor (or Casto)",
"González Velázquez, Isidro (or Isidoro)",
"González Velázquez, Luis",
"González Velázquez, Pablo",
"González Velázquez, Zacarías",
"González y Fernández, Victorino",
"González y Martínez, Pedro",
"González, Bartolomé",
"González, Ferrán (Fernán, or Fernando, or Ferrand)",
"González, José (or Josef)",
"González, Juan Antonio",
"González, Julio (or Juli)",
"González, Nicolás",
"Gonzalvo Pérez, Pablo",
"Gordon y García Robés, Rogelio",
"Gorostiza Gongueta, Juan",
"Gosé, Xavier",
"Goussef, Victor (or Viktor) Kallinik",
"Goy, I.H.",
"Goya, Francisco de",
"Goyaz, Juan de (or Joan de)",
"Gracia Pueyo, Luis",
"Gragera, José",
"Grajera, Leopoldo",
"Granados Valdés, Antonio",
"Grande, Baltasar",
"Grañén, Blasco de",
"Graner Arrufi, Lluís (or Luis)",
"Graner y Viñuelas, Antonio",
"Granyer, Josep (or José)",
"Grarite Tejada, Luis",
"Gras, Francisco",
"Grau Sala, Emili (or Emile, or Emilio)",
"Grau y Andreu, Francisco (or Francesco)",
"Grau, Carles (or Carlos)",
"Grau, Francesc (or Francisco)",
"Grau, Joan (or Juan)",
"Greco, El",
"Greco, Nicolás (or Nicolau)",
"Gregorio Rocasolano, Enrique",
"Gris, Juan (or Joan)",
"Grosso, Alfonso",
"Guadalupe, Pedro de",
"Guadix, Cristóbal de",
"Gual Queralt, Adrià (or Adrián, or Adriano)",
"Gual, Bartomeu (or Bartolomé)",
Gualterio (or Gualterius),
Gualterio,
"Guàrdia Esturí, Jaume (or Jaime)",
"Guàrdia, Gabriel",
"Guardia, W. de la",
"Guardiola Torregrosa, Josep (or José)",
"Guas, Juan (or Jean)",
"Guasch Homs, Francesc (or Francisco)",
"Gubert Ortega, Carlos (or Carles)",
"Güell Cortina, Lluís Maria (or Luis María)",
"Güell, Hortensi (or Hortensio)",
"Guerau, Antonio (or Antón)",
"Guerra Coronel, Domingo",
"Guerra, Gil",
"Guerra, José",
"Guerrero Carmona, Rafael",
"Guerrero de Alcántara, Manuel",
"Guerrero, Antonio",
"Guerrero, José",
"Guevara, Melchor de",
"Guezala y Ayrivié, Antonio",
"Guezala, Pedro",
"Guiard y Larrauri, Adolfo",
Guillén de Rohan,
"Guillén Pedemonte, Heliodoro",
"Guillén, Diego",
"Guillermo, Juan",
"Guilló, Vicente (or Vizente)",
"Guinart Candelich, Francesc (or Francisco)",
"Guinea y Ugalde, Anselmo",
"Guino Boix, Ricard",
"Guisart, Pedro Juan",
"Guiteras de Soto, José",
"Gumiel, Pedro de",
"Gumucio Castro, Manuel",
"Gussinyé, Pere (or Pedro)",
"Gutiérrez de la Vega the Younger, José",
"Gutiérrez de la Vega, Francisco",
"Gutiérrez de la Vega, José",
"Gutiérrez Frechina, Francisco",
"Gutiérrez Hernández, Ernesto",
"Gutiérrez Rivera, Francisco",
"Gutiérrez Solana, José",
"Gutiérrez, Francisco",
"Gutiérrez, Francisco",
"Gutiérrez, Juan Simón",
"Guzmán, Jorge",
"Guzmán, Juan Bautista",
"Haes, Carlos de",
"Halen, Francesc (or Francisco) de Paula van",
"Hamen y León, Juan van der",
"Han, Master",
Hanequín de Bruselas,
"Haya, Martín de la",
"Haya, Rodrigo de la",
"Haza y Astier, José de la",
Hearst Master,
"Helle, Isaac (or Isaak, or Izaak) de",
"Hermida, Juan de",
"Hermoso Martínez, Eugenio",
"Hermoso, Diego",
"Hermoso, Pedro",
"Hernández Amores, Germán",
"Hernández Amores, Víctor",
"Hernández Bello, Blas",
"Hernández Monjo, Francisco (or Francesc)",
"Hernández Nájera, Miguel",
"Hernández Prado, Rafael",
"Hernández Sánchez, Mateo",
"Hernández Tomé, Francisco",
"Hernández, Amado",
"Hernández, Bartolomé (or Bartholomé)",
"Hernández, Blas",
"Hernández, Francisco",
"Hernández, Jerónimo",
"Hernández, José Acisclo",
"Hernández, Pedro",
"Hernández, Tomás",
"Hernández, Vico",
"Herráez y Rodríguez, Félix",
"Herrer Marcher, César María",
"Herrer Rodríguez, Joaquín María",
Herrera el Rubio,
