AUTHOR
"Adsuara Ramos, Emilio, 1884-1911."
"Carreres, Vicente, 1892-1920."
"Folch de Cardona, Francisco, 1737-"
"Anglada Pintó, Luis, 1873-1946."
"Penagos, Rafael de, 1889-1954."
"Gärtner de la Peña, José, 1866-1918."
"Padró, Tomás, 1840-1877."
"Galí Fabra, Francesc d'Assís, 1880-1965."
"Gallardo Ruiz, Gustavo, 1891-1971."
"Gallego, Francisco, active 1500-1501."
"Gallegos y Arnosa, José, 1859-1917."
"Gallés Pujal, Sebastià, 1812-1900."
"Galofre, Baldomer, 1846-1902."
"Galofre Oller, Francesc, 1865-1942."
"Galván y Candela, José María, 1837-1899."
"Gálvez, Juan, 1774-1847."
"Córdoba, Benito de, active 1458-1459."
"Galwey García, Enric, 1864-1931."
"Gamborino, Miguel, 1760-1828."
"Gandàrias, Just de, 1846-1933."
"Gandía, Juan de, active 1659-1661."
"Gárate, Juan José, 1870-1939."
"Garay Arévalo, Manuel, approximately 1844-"
"García, Nicolás, active 1831-1843."
"García de Benabarre, Pere, active 1445-1496."
"García y Alcázar, Lino, active 1856-1887."
"Camio, Pedro G."
"García Condoy, Julio, 1889-1977."
"García Díaz, Angel, 1873-"
"García Guijo, Rafael, 1881-"
"García Hispaleto, Manuel, 1836-1898."
"González Méndez, Manuel, 1843-1909."
"García Lesmes, Aurelio, 1884-1942."
"García Lorca, Federico, 1898-1936."
"García Martínez, Emilio, 1875-"
"García Martínez, Juan, 1825-1895."
"García y Mas, Mariano, 1858-1911."
"Parera Munté, Francesc, 1850-1920."
"García Rodríguez, Manuel, 1863-1925."
"García Salmerón, Cristóbal, approximately 1603-1666."
"García Sampedro, Luis, active 1892-1926."
"Escaler Milá, Lamberto, 1874-1957."
"Eriz, Pedro, 1851-1901."
"Fernández Carpio, Manuel, 1853-1931."
"Fructuoso, active 1055."
"Bartolomé, active 1052."
"Garí, Joan, active 1540-1549."
"Garnelo y Alda, Manuel, 1878-"
"Garnelo y Alda, José, 1866-1944."
"García Asarta, Inocencio, 1861-1921."
"Garrido Méndez, Ramón, 1870-1940."
"Gil, Juan Antonio, active 1883."
"Gascó, Pere, active 1507-1549."
"Gasch, Luis, active 1881-1887."
"Gassies, Arnau, approximately 1410-1456."
"Gastó Vilanova, Pere, 1908-"
"Gaudí, Lluís Pasqual, 1556-1621."
"Gener, Guerau, 1369-1409 or 1410."
"Gessa Arias, Sebastián, 1840-1920."
"Lorente Germán, Bernardo, 1680-1759."
"Gasull, Agustín, active 1689-1710."
"Gil Montejano, José Antonio, approximately 1850-1906."
"Pellicer Rouvière, Carles, 1865-1959."
"Gilarte, Mateo, approximately 1625-1675."
"Gili i Roig, Baldomer, 1873-1926."
"Jiménez Fernández, Federico, 1841-"
"Gimeno, Andrés, 1879-"
"Gimeno, Francisco, 1858-1927."
"Giner, Juan, -1552."
"Ginés y Ortiz, Adela, 1847-"
"Gisbert Pérez, Antonio, 1834-1901."
"Godoy Castro, Federico, 1869-1939."
"Sala, Emilio, 1847-1910."
"Gomar y Gomar, Antonio, 1853-1911."
"Gómez, Gabriel Osmundo, 1856-1915."
"González Prieto, Fermín, 1900-"
"Gómez Cros, Antonio, 1809-1863."
"Gómez, Martín, approximately 1500-1562."
"Gómez Gil, Guillermo, 1862-1942."
"Gómez, Sebastián, approximately 1665-approximately 1720."
"Gómez Alarcón, Juan Ángel, 1882-1971."
"Gómez Gimeno, Ricardo, 1892-"
"Gómez Mir, Eugenio, 1877-1938."
"Gómez Novella, Vicente, 1871-1956."
"Gómez de Valencia, Felipe, 1634-1679."
"Gómez Pastor, Jacinto, 1746-1812."
"González, Juan Antonio, 1842-"
"González, Julio, 1876-1942."
"González del Blanco, Roberto, 1887-1959."
"González Ibaseta, Joaquín, -1925."
"González Bolívar, Pedro, active 1874-1902."
"Gallardo, Francisco, active 1709-1764."
"González de la Vega, Diego, approximately 1628-1697."
"González, Bartolomé, 1564-1627 or 1628."
"González de Cedillo, Antonio, approximately 1635-"
"González Jiménez, José, active 1855."
"González Ruiz, Antonio, 1711-1788."
"Serna, Ismael de la, 1897?-1968."
"González Velázquez, Castor, 1768-1822."
"Gonzalvo Pérez, Pablo, 1827-1896."
"Gorostiza Gongueta, Juan, 1897-"
"Gosé i Rovira, Xavier, 1876-1915."
"Gonzalez Velasquez, Isidoro, approximately 1760-"
"González Velázquez, Luis, 1715-1764."
"Perich Fuster, Emilio, active 1877-1882."
"Grande, Baltasar, active 1547-1558."
"Peris Brell, Julio, 1866-1944."
"González Velázquez, Alejandro, 1719-1772."
"Grau y Andreu, Francisco, 1772-1834."
"Guerrero, José, 1914-1991."
"Guillén Pedemonte, Heliodoro, 1863-1940."
"Guillermo, Juan, 1916-1968."
"Pigem Ras, Manuel, 1862-1946."
"Guinea y Ugalde, Anselmo, 1855-1906."
"Graner Arrufi, Lluís, 1863-1929."
"Gutiérrez-Solana, José, 1886-1945."
"Pla Rubió, Alberto, 1867-1937."
"Guzmán, Juan Bautista, active 1876-1895."
"Grau, Carles, 1714-1798."
"Guàrdia, Gabriel, active 1482-1501."
"Machuca, Pedro, -1550."
"Gussinyé, Pere, 1898-1980."
"Ramos, Francisco Javier, approximately 1744-1817."
"Grosso, Alfonso, 1893-1983."
"Gutiérrez Hernández, Ernesto, 1873-1934."
"Gutiérrez, Juan Simón, 1643-1718."
"Gatón, Joan, active 1509-1571."
"Garrido, Leandro Ramón, 1868-1909."
"Giachineti González, Juan, approximately 1630-1696."
"Gil, Jerónimo Antonio, 1732-1798."
"Giner, Vicente, active 1676-1680."
"García Ramos, José, 1852-1912."
"González Ferrández, Baltasar, 1861-1936."
"García Cabré, active 19th century."
"Gálvez, Pedro de, active 18th century."
"Giner, Gabriel."
"García Chicano, José, 1775-1858."
"García de la Cal, Francisco, -1899."
"Tramulles i Roig, Manuel, 1715-1791."
"Urgell, Modest, 1839-1919."
"García del Corral, Federico, active 1877-1887."
"Gayllard, Mateu, active 1575."
"Gausachs, Josep, 1889-1959."
"Haes, Carlos de, 1826-1898."
"Hernández, Francisco, active 1603-1616."
"Piquer Duart, José, 1806-1871."
"Hernández Amores, Germán, 1823-1894."
"Hernández, Mateo, 1884-1949."
"Hernández, Tomás, active 1603-1608."
"Goy, I. H., active 1751."
"Gascón de Gotor, Anselmo, 1865-1927."
"Hernández Tomé, Francisco, -approximately 1880."
"Herráez y Rodríguez, Félix, 1891-1976."
"Planella Conxelló, Bonaventura, 1772-1844."
"Hernández, Gerónimo, 1540-1586."
"Hernández Nájera, Miguel, 1864-1936."
"Planella Rodríguez, Joan, 1850-1910."
"Haza y Astier, José de la, 1875-"
"Serra, Jaume, active 1358-1389."
"Herrer Rodríguez, Joaquín María, 1839-"
"Hidalgo de Caviedes, Rafael, 1864-1950."
"Jardines, Antonio, 1898-"
"Herrera, Gabriel Alonso de, active 15th century-16th century."
"Hiráldez Acosta, Marcos, 1830-1896."
"Higueras Cátedra, Jacinto, 1914-"
"Jiménez, José, active 19th century."
"Herreros de Tejada, Luis, 1867-"
"Herrera, Juan de, approximately 1530-1597."
"Plasencia Maestre, Casto, 1846-1890."
"Humbert, Manuel, 1890-1975."
"Huidobro Laplana, Luis, 1870-1936."
"Hurtuna i Giralt, Josep, 1913-1978."
"Oms, Gaspar, -1614."
"Huerta Romaguera, Gaspar de, 1645-1714."
"Polo, Diego, 1610-1655."
"Huerta, Juan de la, active 1431-1462."
"Bonifás Massó, Francesc, 1735-1806."
"Alouns, active 1326-1342."
"Cárdenas Maldonado, Gabriel de, -1603."
"Cuadra, Andrés de la, active 17th century."
"Meléndez, Francisco Antonio, 1682-"
"Villabrille y Ron, Juan Alonso, approximately 1663-"
"Aulèstia, Salvador, 1919-"
"Alonso, de Zamora, active 1476-1510."
"Aniano, Antonio de, active 1490-1526."
"Beulas, José, 1921-"
"Duran i Benet, Rafael, 1931-"
"Anglés Cañe, Joaquim, 1859-"
"Folch Roca, Ramon, 1923-"
"Alsina Amils, Ramón, 1861-1948."
"Aragay Blanchart, Josep, 1889-1973."
"Juliana Albert, Josep, 1844-1890."
"Sunyer, Joaquim, 1874-1956."
"Estruga Andreu, Oscar, n.1933-[doc.1992]."
"Costa de Vique, Pablo, 1672-1726."
"Castelló, Vicente, active 1635."
"Blasco, Eulogio, 1890-1960."
"Curós i Ventura, Jordi, 1930-"
"Cresques, Jafuda, active approximately 1375-1447."
"Ezpeleta, P., active 1596."
"Cabanas Oteiza, Angel."
"Castellanas Garrich, Josep, 1896-1980."
"Castelló y González del Campo, Antonio, active 1845-1855."
"Coloma, Luis, active 1885."
"Corona Gómez Gamero, Elías."
"Escolá, Salvador, approximately 1850-"
"Espí, Manuel."
"Fraile, Alfonso, 1930-1988."
"Fernández Rodríguez, Juan, active approximately 1500-1539."
"Ferrer, Daniel, active 1832."
"Asensio Rovira, Teo, 1935-"
"Font Barrera, Antonio, 1778-1800."
"Fern´andez el Labrador, Juan,  -1657."
"Echevarría, José Atanasio, active approximately 1800."
"Daros, active 1815."
"Gil de Mena, Felipe, 1600-1673."
"Gómez-Moreno, Manuel, 1834-1918."
"Giralte the Younger, Francisco."
"Martínez Abades, Juan, 1862-1920."
"Gras, Francisco."
"Datsira Prunés, Joaquim, 1925-1972."
"Hernández Monjo, Francisco, 1862-1937."
"Hernández, José Acisclo, 1826-"
"Hermida, Juan de, active 1822-1824."
"Hohenleiter, Francisco, 1889-1968."
"Hurtado y Corral, Carlos, active 1871-1899."
"Hoyo y González, Jose María del."
"Huarte Mendicoa y Marín, Vicente."
"Hugué, Manuel, 1872-1945."
"Anesca, de Carcasona, active 1380."
"Illa, Marian, -1810."
"Díaz, Francisco, active 1753-1756."
"Gallardo, Luis, -1938."
"Garay García, Luis, 1893-1956."
"Gamoneda y García del Valle, José María, 1875-1963."
"García Ibáñez, Francisco, 1825-"
"García Ramos, Juan, 1856-1911."
"Garcia-Junceda, Joan Enric, 1881-1948."
"Prieto, Gregorio, 1897-1992."
"Pinazo Camarlench, Ignacio, 1849-1916."
"Lozano, Francisco, 1912-"
"Argimon, Daniel, 1929-"
"Pícolo López, Manuel, 1855-1912."
"Palazuelo, Pablo, 1916-2007."
"Iñigo y Gorostiza, Carlos, active 1895-1922."
"Jardines, José María, 1862-"
"Pulido Fernández, Ramón, 1868-"
"Guiard, Adolfo, 1860-1916."
"Togores, Josep de, 1893-1970."
"Guiteras de Soto, José, 1885-1950."
"Güell López, Maria Lluïsa, 1874-1933."
"Mir, Joaquín, 1873-1940."
"Iturrino, Francisco, 1864-1924."
"Theotocópuli, Jorge Manuel, 1578-1631."
"Gual, Adrià, 1872-1943."
"Grarite Tejada, Luis, 1858-1901."
"Guerrero Carmona, Rafael, active 1882-1884."
"Guasch Homs, Francesc, 1861-1923."
"Guardia, W. de la, active 1884."
"Gil Rey, Ramón, approximately 1818-1844."
"Gil y Gavilondo, Isidro, 1843-1917."
"Giráldez y Peñalver, Adolfo, approximately 1840-approximately 1920."
"Gómez Niederleytner, Germán, 1847-"
"Gómez Plasent, Vicente, active 1881-1888."
"Gibert Roig, Pau, 1853-"
"Rodríguez y Jiménez, Juan, 1765-1830."
"Tomás Pérez, Angel, 1898-1978."
"Paret y Alcázar, Luis, 1746-1799."
"Rodríguez Tizón, Ventura, 1717-1785."
"Niño de Guevara, Juan, 1632-1686."
"Gay, C., active 1890-1906."
"García y García, Juan José, 1893-"
"Giralt, Augustín, active 1878."
"Gil Gallango, Felipe, 1868-1938."
"Tolosa Alsina, Aureli, 1861-1938."
"Ribalta, Francisco, 1565-1628."
"March, Miguel, 1633-1670."
"Iriarte, Ignacio de, 1621-1670."
"Madrazo y López de Calle, Mariano de, 1894-1990."
"Lameyer, F. (Francisco), 1825-1877."
"Muñoz Degraín, Antonio, 1840-1924."
"Carpe, Antonio Hernández, 1923-"
"Mestre de Pedret, 11th century-12th century."
"Sánchez, Pedro, active approximately 1500."
"Mestre de Lluçà, active 1230-1275."
"Renart, Joaquim, 1879-1961."
"Jordán, Esteban, approximately 1530-1598."
"Picardo, Juan, approximately 1507-"
"Moya Calvo, Victor, 1889-1972."
"Osona, Roderic d', el Vell, active 15th century."
"Graner y Viñuelas, Antonio, active 1876-1904."
"Maestro de Becerril, active approximately 1510-1530."
"Gil Bergasa, Justino, 1890-"
"Gil García, Alfredo."
"Gironella Rodó, Josep, 1827-1910."
"Sierra, Jacinto de, active 1735."
"Velasco, Luis de, approximately 1540-1606."
"Gumucio Castro, Manuel, 1898-"
"Maestro de Segovia, active 15th century."
"Juni, Juan de."
"Gómez Rodríguez, Jerónimo, active 1886."
"Roldán, Luisa Ignacia, 1656-1704."
"Garrido, Fernando, 1821-1883."
"Gutiérrez de la Vega, Francisco, active 1847-1855."
"Gallissà i Soqué, Antoni Maria, 1861-1903."
"García, Francisco, active 1607."
"González Santos, Manuel, 1875-1949."
"Juliá, Andreu, active 1359-1381."
"Malinas, Juan de, -1476."
"Maestro de la Cámara Santa, active 12th century."
"Maestro de Erill, active approximately 1200."
"Tournai, Joan de, active 1320-1330."
"Maestro de San Juan de la Peña, active 12th century."
"Oliver Aznar, Mariano, 1863-1927."
"Ribas Prats, Antoni, 1883-1931."
"Maestro de los Torres, active 1260."
"Raimundo, de Monforte, active 1129."
"Pérez, Pedro, -1291."
"Piasca, Juan de, active 1186."
"Vega, Pedro de, active 1505."
"Xulbe, Pascasi de, active 1381-1441."
"Maestro Enrique, -1277."
"Guillén de Rohan, -1431."
"González de la Peña, José, 1887-1961."
"González Cardemio, José."
"González Billón, José, active 1895."
"Gómez Lanzuela, Antonio, 1818-1877."
"González Gallego, Antonio."
"Guerrero, Antonio, 1777-"
"López Piquer, Luis, 1802-1865."
"Gómez Martín, Eduardo, active 1897."
"Llonye, Antoni, active 1453-1462."
"Mena, Pedro de, 1628-1688."
"Martorell, Bernardo, -approximately 1453."
"Torné Esquius, Pere, 1879-1936."
"Ibáñez de Aldecoa, Julián, 1866-1952."
"Núñez Delgado, Gaspar, -1606."
"Veza, Tulomba."
"Pacheco, Francisco, 1564-1644."
"Lengo Martínez, Horacio, 1838-1890."
"Horozco, Juan de, active 1510-1549."
"Junyer Vidal, Sebastià, 1878-1966."
"Juncosa, Joaquín, 1631-1708."
"Pereda, Sebastián de, active 16th century."
"Herrera Barnuevo, Antonio de, active 1605-1646."
"Torné Pujol, Trinitat, 1879-1945."
"Jadraque y Sánchez-Ocaña, Miguel, 1840-1919."
"Mora, José de, 1642-1724."
"Salzillo y Alcaraz, Francisco, 1707-1783."
"Trigo, Zenon, active 1869-1874."
"Moreno, José, approximately 1642-approximately 1677."
"Montero de Rojas, Juan, approximately 1613-1683."
"Inglés, Jorge, active 15th century."
"Jener Carreras, Eduard, 1882-"
"Ysern Alié, Pere, 1875-1946."
"Inglada, Francesc, 1850-1903."
"Ynglada, Pedro, 1881-1958."
"Llorens, Gaspar, active 16th century."
"Lucini Biderman, Eusebio, 1814-1881."
"Cardona Torrandell, Armand, 1928-"
"Irala, Matías de, -1753."
"Artigau, Francesc, 1940-"
"Boix, Esther."
"Iniesta Soto, Félix, approximately 1862-"
"Quintanilla, Luis, 1895-1978."
"Roldán, Pedro, 1624-1699."
"Tovar, Manuel, 1875-1935."
"Picardo, León, -1547."
"Irureta Artola, Alejandrino, 1851-1912."
"Zamora, Juan de, active 1526."
"Oliver, Juan, active 1330-1332."
"Izquierdo y Vivas, Mariano, 1893-1985."
"Jiménez Fernández, José, 1846-1873."
"Palao Ortubia, Luis, 1863-"
"Molina, Antonio de, active 1802."
"Alfaro, Andreu, 1929-2012."
"Freixas Vivó, Amadeu."
"Tubilla, Julio, active 1899."
"Lafuente, Felix, 1865-1927."
"Madrazo y Hahn, Federico Carlos de, 1875-1934."
"Gómez, G., active 1890."
"Sánchez, Mariano, 1740-1822."
"Jáuregui y Aguilar, Juan de, 1583-1641."
"Morera y Galícia, Jaime, 1854-1927."
"Ximénez, Miguel, active 1462."
"Juan de Leví, active 14th century-15th century."
"Jamete, Esteban, active 16th century."
"Jaspe Moscoso, Antonio María, 1856-1887."
"Jaureguizar, Elíezer, 1856-1880."
"Tudela Perales, Joaquín, 1892-"
"Jiménez, Antonio, active 20th century."
"Jiménez, Guillermo, active 1878."
"Jiménez, Juan Miguel."
"Jiménez Pez, Marino, active 1878."
"Jover Casanova, Francisco, 1836-1890."
"Jubany Carreras, Francesc, 1787-1852."
"Juliá Entraigues, Rafael, active 1873-1897."
"Juliá Ventura, Francesc, 1900-"
"Juliá y Carrere, Luis, -1908."
"Junquera Lavín, Augusto, 1869-1942."
"Junyent, Oleguer, 1876-1956."
"Junyent i Sans, Sebastià, 1865-1908."
"Justé, Javier, 1856-1899."
"Jordán, Francisco, 1778-1832."
"Juncosa, Josep, active 1669-1690."
"Junyer i Pascual, Joan, 1904-"
"Gimeno y Carrera, José Antonio, 1757-approximately 1820."
"Leonardo, José, 1600?-1656."
"Menéndez, Miguel Jacinto, 1679-1734."
"Labrada Martín, Fernando, 1888-1977."
"Lizcano, Angel, 1846-1929."
"Lupiáñez Carrasco, José, 1864-1938."
"Manzano y Mejorada, Víctor, 1831-1865."
"Jiménez Martín, Juan, 1858-1901."
"Joan, Pere, 1394 or 1397-"
"Jordi, de Déu, -approximately 1418."
"Tarragona, Joan de, -approximately 1404."
"Mallol i Casanovas, Ignasi, 1892-1940."
"Francés, Juana."
"Vega, Francisco de la, active 1539-1571."
"Gómez, active 19th century."
"Joan, active 13th century."
"Ortoneda, Pascual, active 1423-1460."
"Juan, de Valencia, active 16th century."
"Suárez Llanos, Ignacio, 1830-1881."
"Junoy, Josep Maria, 1887-1955."
"Gregorio Rocasolano, Enrique, 1871-1923."
"Ibáñez Flórez, Eduardo, active 1871-1889."
"González Ubierna, José Manuel, 1900-1982."
"Labrador, José María, 1890-1977."
"Laforet Alfaro, Eduardo, 1850-1941."
"Lagar, Celso, 1891-1966."
"Laguardia, Juan de, active approximately 1402."
"Laguna Pérez, José, 1835-1883."
"Lahuerta, Genaro, 1905-"
"Padró Pijoan, Ramon, 1809-1876."
"Lana, Jaime, -1511."
"Lanchares, Antonio, approximately 1590-1630."
"Urrutia Olarán, Jenaro de, 1895-1965."
"Urmeneta, Juan José de, 1800-1883."
"Larraga Montaner, Andrés, 1860-1931."
"Larraz, Carlos, approximately 1830-1892."
"Larrocha González, José, 1850-1933."
"Larroque, Angel, 1874-1961."
"Ledesma, Blas de."
"Legot, Pablo, 1598-1671."
"Lembrí, Pere, active 1399."
"Lemus y Olmo, Eugenio, approximately 1845-"
"Leodegarius, 12th century-13th century."
"León Astruc, Manuel, 1889-1965."
"León Escosura, Ignacio de, 1834-1901."
"Utrillo, Miguel, 1862-1934."
"Lhardy Garrigues, Agustín, 1847-1918."
"Liaño, Teodoro Felipe de, -1625."
"Licalde, Juan de, active 1628."
"Utrillo Viadera, Antoni, 1867-1944."
"Linde, Paulino de la, 1837-"
"Llasera Díaz, José, 1882-1943."
"Llavanera, Marià, 1890-1927."
"Llaverias, Joan, 1865-1938."
"Llimona Benet, Maria, 1894-1985."
"Llimona i Raymat, Núria, 1917-"
"Lloréns, Cristóbal, approximately 1554-approximately 1622."
"Vaamonde Cornide, Joaquín, 1871-1900."
"Lloveras, Federico, 1912-"
"Llovet Miserol, Ramon, 1917-1987."
"Vallespín y Aivar, José, active 1858."
"Lluch, Vicente, 1771-1812."
"Longoria y Leal, Manuel, active 1890-1895."
"López, Diego, active 1686."
"Vega Muñoz, Francisco de, 1840-1868."
"López, José, active 1650-1671."
"López García, Juan Luis, 1894-1984."
"López, Andrés, active 1505-1515."
"López de Ayala, Manuel, 1869-1920."
"Varela y Sartorio, Eulogio."
"Lopez Cabrera, Ricardo, 1864-1950."
"López Caro, Francisco, 1598-1661."
"López Castrillo, Flora."
"López Enguídanos, José, 1760-1812."
"López Polanco, Andrés, -1641."
"Vallhonrat Sadurní, Joan, 1874-1937."
"Vidal Ventosa, Joan, 1880-1972."
"Lorente, Félix, 1712-1787."
"Lorenzale Sugrañes, Claudí, 1816-1889."
"Lorenzale Rogent, Ramir, 1859-1917."
"Losada y Arce, active 17th century."
"Vico Hernández, Miguel, 1850-"
"Lozano Losilla, Luis, 1887-"
"Lozano Sidro, Adolfo, 1872-1935."
"Lucas Villamil, Julián, 1865-"
"Lucenti de Correggio, Gerolamo, active 1602-1624."
"Luna, Miguel de, active 1767-1777."
"Luque Roselló, Joaquín, 1865-1932."
"Luzán Martínez, José, 1710-1785."
"Olleros Quintana, Blas, 1852-1919."
"Leoni, Pompeo, approximately 1533-1608."
"Lizona, Francisco de, active 1683."
"López Maza, Juan, active 1615."
"Luisadas, Augusto, active 18th century."
"Iglesias, Manuel, active 1845-1852."
"Lloréns, Cristóbal, 1831-1910."
"Lacárcel Aparici, Félix, 1883-1975."
"Lafuente, Ramiro, active 1884."
"Lafuente Sansano, Jaime, 1858-1899."
"Lambla, Julio, active 1871-1873."
"Landa Uriarte, Juan José, 1898-"
"Lapayese Bruna, José, 1899-"
"Laporta Valor, Francisco, 1849-1914."
"Latorre Viedma, Rafael, 1872-1960."
"Lavilla, Nemesio, 1860-1946."
"Lecuona Echániz, Antonio María de, 1831-1907."
"Lema y Rozones, Manuel de, active 1878."
"León Marco, Julià."
"Lezcano, Carlos, 1871-1929."
"López, Cándido, 1840-1902."
"López del Plano, Eduardo, 1840-1885."
"López Fernández, Rogelio, approximately 1880-"
"Madrazo y Kuntz, Luis de, 1825-1897."
"López-Roberts y Muguiro, María de los Angeles."
"López Rubio, Francisco."
"López Torres, Antonio, 1912-"
"Losada, Manuel, 1865-1949."
"Loygorri, José, 1889-"
"Lozano Sirgo, Isidoro Santos, 1826-"
"Lozano y Rodríguez, Eduardo, active 1887-1927."
"Lucini, Francesco, 1789-1846."
"Ludeña, Angel Lucio, active 1862-1866."
"Llaneces, José, 1863-1919."
"Llovera Bofill, Josep, 1846-1896."
"Vivancos, Miguel García, 1895-1972."
"Rodríguez de Losada, José María, 1826-1896."
"Saragossa, Llorenç, -1405 or 1406."
"Madrazo y Garreta, Ricardo de, 1852-1917."
"Jiménez, Miguel, active 1645-1663."
"Tharrats, Juan José."
"Valle Sandoval, Juan de Dios del, 1856-"
"Verde Rubio, Ricardo, 1876-1955."
"Fornas Martínez, Jordi, 1927-"
"Torres, Antonio, 1851-"
"Tirado, Fernando, 1862-1907."
"Sala Gabriel, Joan, 1867-1918."
"Valverde Lasarte, Joaquín, 1896-1982."
"Juez Nieto, Antonio, 1893-1963."
"Maea, José, 1759-1826."
"Maffei Rosal, Francisco, 1824-1842."
"Mallo, Cristino, 1905-"
"Mallo, Maruja."
"Mallol Suazo, Josep Maria, 1910-"
"Manresa, Guillem de, -1393."
"Manso y Chaves, Bernarda, -1821."
"Marcos, de Vilanova, active 1385-1388."
"Marín Garés, Isidoro, 1863-1926."
"Marín Higuero, Enrique, 1873-1951."
"Feito, Luis, 1929-"
"Marquès Garcia, Josep Maria, 1862-1938."
"Martí, Antoni, active 1840-1862."
"Martí Aguiló, Ricard, 1868-1936."
"Martín Riesco, Elías, 1839-1910."
"Varela, Emilio, 1887-1951."
"Martínez, Domingo, 1688?-1749?"
"Martínez, Jusepe, 1600-1682."
"Martínez, Sebastián, 1599-1667."
"Martínez, Tomás, 1647-1734."
"Martínez de Aroso, Diego, active 17th century."
"Martinez Cubells y Ruiz, Enrique, 1874-1947."
"Farreras, Francisco, 1927-"
"Martínez Martín, Santiago, 1890-1979."
"Delgado, Alvaro, 1922-"
"Martínez del Rincón y Trives, Serafín, 1840-1892."
"Dans, María Antonia, 1924-"
"Martínez Vázquez, Eduardo, 1886-1971."
"Marzo, Andrés, 1617-"
"Mas i Fondevila, Arcadi, 1852-1934."
"Macip, Margarita, -1613."
"Masó de Falp, Felip, 1851-1929."
"Masriera, Francesc, 1842-1902."
"Masriera, Josep, 1841-1912."
"Masriera, Lluís, 1872-1958."
"Master Alejo, 15th century-16th century."
"Master Alexander of Roussillon, 12th century-13th century."
"Maestro de All, active 15th century."
"Maestro Alonso de Toledo, active 17th century."
"Maestro Aloy, active 1340-1368."
"Maestro de Castelló d'Empúries, active 15th century."
"Maestro de las Figuras Anémicas, active 15th century."
"Maestro de Astorga, active 1530."
"Mestre d'Avià, active approximately 1170-approximately 1200."
"Maestro de Bagüés, active 12th century."
"Maestro de Barluenga, active 13th century."
"Vázquez Ubach, Nicanor, 1861-1930."
"Maestro Benito, active approximately 1510-1531."
"Maestro de Bierge, active 13th century."
"Tramullas, Francisco, approximately 1717-approximately 1771."
"Maestro de Bonnat, 15th century-16th century."
"Maestro de Borja, active 16th century."
"Maestro de Budapest, active 1470-1495."
"Luna, Juan, 1857-1899."
"Maestro de Calzada, 15th century-16th century."
"Maestro de las Camelás, active 1407-1408."
"Maestro de Cardós, active 12th century."
"Maestro de la Puebla de Ciérvoles, active approximately 1500."
"Maestro de Cubélls, active 1374-1405."
"Maestro de Curiel, active 16th century."
"Maestro d' Estaón, active 12th century."
"Domecq, Cristian."
"Mestre d' Estimariú, active 14th century."
"Díaz Pardo, Isaac."
"Maestro d' Estopiñán, active 14th century."
"Maestro de Fonollosa, active 15th century."
"Lugrís, Urbano, 1908-1973."
"Vega Marrugal, José de la, 1827-1896."
"Poles, Francisco, active 1897."
"Valldeperes, Eusebi, 1827-1900."
"Lucena y Borraras, T."
"Maestro de Ginestarre, active approximately 1100."
"Maestro de Glorieta, active 15th century."
"Maestro del Grifo, 15th century-16th century."
"Mures, Alonso, 1690-1761."
"Maestro del Horcajo de Santiago, active approximately 1430-1440."
"Ram, Domingo, active 1464-1507."
"Vila Cinca, Joan, 1857-1938."
"Master Juan, active 16th century."
"Maestro de Langa, active approximately 1425."
"Mestre del Judici Final, active approximately 1123."
"Maestro del Dado, active 16th century."
"Maestro de Llanes, active 1517-1538."
"Maestro de Maluenda, active 15th century."
"Perrín, Miguel, -1560."
"Master of Monasterio de Piedra, active 14th century."
"Maestro de Montesión, active 1406."
"Maestro de Mur, active 12th century."
"Maestro de Navasa, active 13th century."
"Maestro de Olite, active 1280-1300."
"Maestro de Osma, active 1503-1516."
"Maestro de Palanquinos, active 15th century."
"Maestro de Payá, active 15th century."
"Maestro de Peralta, active 15th century."
"Palencia, Gaspar de, approximately 1533-"
"Master of Portillo, active approximately 1523-approximately 1530."
"Maestro de los Reyes Católicos, active approximately 1485-1500."
"Maestro de Riglos, active 1435-1460."
"Mestre del Rosselló, active 1385."
"Mestre de Torà, active 14th century."
"Maestro de San Andrés de Arroyo, active 1558."
"Valero, J. Pío, 1830-1911."
"Mestre de Santa Coloma, active 12th century."
"Maestro de San Erasmo, active 15th century."
"Maestro de San Fructuoso de Bierge, 13th century-14th century."
"Maestro de Santa María del Campo, active approximately 1480."
"Mestre de Santa María de Taüll, active approximately 1123."
"Maestro de San Miguel de Daroca, active 14th century."
"Maestro de San Nicolás, active approximately 1465-1500."
"Requena, Gaspar, active 1603."
"Maestro de Sopetrán, active approximately 1470."
"Pérez, Andrés, 1660 or 1669-1727."
"Maestro de Uncastillo, active 13th century."
"Mestre de la Seu d'Urgell, active 12th century."
"Maestro de Baltarga, 12th century-13th century."
"Maestro de Vidrà, active 13th century."
"Maestro de Viella, active approximately 1470-1479."
"Maestro de Villalobos, active 16th century."
"Maestro de Villarroya, active 15th century."
"Matheos, Juan, active 1696-1707."
"Matilla Marina, Segundo, 1862-1937."
"Mattoni, Virgilio, 1842-1923."
"Maura Montaner, Francisco, 1857-1931."
"Mayol, Salvador, 1775-1834."
"Mayorga, Cristóbal de, -1533."
"Medina, José, active 1854."
"Medina Valbuena, Pedro de, approximately 1620-1691."
"Medina Vera, Inocencio, 1876-1918."
"Megía Márquez, Nicolás, 1845-1917."
"Meifrén, Eliseo, 1859-1940."
"Meléndez y Conejo, Gerardo, 1856-"
