AUTHOR
"Maestro del Obispo Galiana, active 14th century."
"Maestro de Olleta, active 1340-1360."
"Master of the Magdalena, active 15th century."
"Mestre de la Passió, 12th century-13th century."
"Maestro de Fuentelcarnero, active 16th century."
"Maestro de Orcau, active approximately 1100."
"Maestro de La Secuita, active 15th century."
"Maestro de Jaca, active 1064-1094."
"Maestro de Gotor, 15th century-16th century."
"Maestro de Ororbia, active approximately 1530."
"Mestre de Sant Vicens dels Horts, active 13th century."
"Maestro de Zamora, active 16th century."
"Gris, Juan, 1887-1927."
"Maestro de Ruesta, active 12th century."
"Maestro de Santa Basilisa, active 15th century."
"Maestro de Segorbe, active 1450-1480."
"Master of the San Juan de la Peña Scriptorium, active 1063."
"Maestro de Sos, active 14th century."
"Mates, Pere, approximately 1490-1558."
"Molner, Blas, 1737-1812."
"Menéndez Pidal, Luis, 1861-1932."
"Mateu Montesinos, Ramón, 1891-1981."
"Maureta Aracil, Gabriel, 1832-1912."
"Méndez Bringa, Narciso, 1868-"
"Carrión, Juan Francisco, active 1672."
"Maura, Antonio, 1853-1925."
"Millán Ferriz, Emilio, -1959."
"Miret Baldé, Ramón, 1897-1972."
"Monclar, María Teresa, 1898-"
"Maza, Francisco de la, active 1568."
"Medina, Sabino de, 1814-1879."
"Mesa, Gregorio de, 1651-1710."
"Montaña, Pere Pau, 1749-1803."
"Salamanca, Francisco de, active 1493-1547."
"Rivelles Guillén, Juan."
"Riva de Muñoz, María Luisa de la, 1865-1926."
"Romay, Miguel de, active 1697."
"Roig, Salvador, active 1458-1468."
"Romero de Torres, Rafael, 1868-1898."
"Arellano, José de, 1665-approximately 1710."
"Beatriz de Borbón, Infanta of Spain, 1909-"
"Agustín y Grande, Francisco, 1753-1800."
"Alcalá Galiano, Alvaro, 1886-1936."
"Algarra y Hurtado, Cosme, -1898."
"Andrés Florentín, 15th century-16th century."
"Alonso Pérez y Villagrosa, Mariano, 1857-1930."
"Andreu, Rafael, active approximately 1573?-approximately 1587."
"Alandi, Cristóbal, 1856-1896."
"Adán, Juan, approximately 1741-1816."
"Alarcón Suárez, José, active 1871-1886."
"Agrasot y Juan, Joaquín, 1836-1919."
"Aguado Arnal, Rafael, 1880-1951."
"Agüero, Benito Manuel de, 1626-1670."
"Arnal, Juan Pedro, 1735-1805."
"Dardanone, José, active 1732."
"Salvador Carmona, Manuel, 1734-1820."
"Aguiar García, José, 1899-1976."
"Aguila, Francisco del, active 1590-1591."
"Cerezo, Mateo, approximately 1612-"
"Arnaudies, Francesc, 1682 or 1683-"
"Alvarez Sotomayor, Fernando."
"Aguiló Tosca, Ataulfo, 1912-"
"Alberti Barceló, Fernando, 1870-1950."
"Albiztur, Bernardo, 1744-"
"Alcayde Montoya, Julia, 1855-1939."
"Alcázar y Ruiz, Manuel, 1858-1914."
"Alcázar Tejedor, José, 1850-"
"Acuña, Cosme, 1760-"
"Asensio y Mejorada, Francisco, 1725-1794."
"Carnicero, Alejandro, 1693-1756."
"Chavarito, Domingo, 1676-1750."
"Aguirre, Domingo de, active 1773-1780."
"Alemany, Pere, active 1489-1502."
"Alenza y Nieto, Leonardo, 1807-1845."
"Aguirre, Andrés Ginés de, 1727-1823."
"Aguirre, Lorenzo, 1884-1942."
"Aguirre y Monsalbe, Manuel, approximately 1825-1855."
"Santa Cruz, active 1504."
"Alonso, Lorenzo, 1750-1810."
"Alonso, Manuel, active 1852-1866."
"Alorda Pérez, Ramon, 1848-1899."
"Alpériz, Nicolás, 1865-1928."
"Alvear y Aguirre, Gerardo Pedro Marcelino Martín, 1887-1964."
"Amadeu, Ramon, 1745-1821."
"Alsina Amils, Antonio, 1864-1948."
"Carazo Martínez, Ramón, 1896-1936."
"Alvarez, Manuel, 1517-approximately 1588."
"Alvarez, Toribio, active 1684-1730."
"Suárez, Lorenzo, active 1627-1645."
"Alvarez Algeciras, Germán, active 1871-1878."
"Alvarez Armesto, Primitivo, 1864-1939."
"Alvarez Catalá, Luis, 1836-1901."
"Alvarez Dumont, César, 1866-1945."
"Alvarez Dumont, Eugenio, 1864-"
"Alvarez Enciso, Domingo, 1737-1800."
"Alvarez de Estrada, Juan, 1895-"
"Amado Bernadet, Ramón, 1844-1888."
"Amat i Pagés, Josep, 1901-1991."
"Amat Pagés, Gabriel, 1899-1984."
"Amell Jordá, Manuel, 1843-1902."
"Amérigo y Aparici, Francisco Javier, 1842-1912."
"Amigó, Eudaldo Ramón, 1828-1885."
"Alvarez Sala, Ventura, 1869-1919."
"Amorós Botella, Antonio, 1849-1925."
"Anglès, Joan Carles, approximately 1755-1822."
"Anckermann, Ricardo, 1842-1907."
"Anchieta, Juan de, -1588."
"Andrade, Angel, 1866-1932."
"Antolínez, Francisco, 1644-1700."
"Andreu Estrany, Mariano, 1888-1976."
"Andreu Sentamans, Teodoro, 1870-1935."
"Anglada i Sarriera, Lola, 1892-1984."
"Amor, Jerónimo, active 1557."
"Amatller Cros, Teresa, 1873-1969."
"Armengol Gall, Emili, 1911-1976."
"Antonio, Matías, 16th century-17th century."
"Armet Portanell, José, 1843-1911."
"Arnau Mascort, Eusebio, 1863-1933."
"Arrau y Barba, José, 1802-1872."
"Arpa Perea, José, 1858-1952."
"Arredondo, Isidoro, approximately 1657-1702."
"Aquiles, Julio, active 1528-1546."
"Arredondo y Calmache, Ricardo, 1850-1911."
"Aranda, Leandro, active 18th century."
"Arango, José María, 1790-1833."
"Fenollera Ibáñez, José María, 1851-1918."
"Aranoa y Carredano, Juan de, 1901-1973."
"Soria, Antonio, active 18th century."
"Arroyo Fernández, Rafael, active 1869-1895."
"Arroyo y Lorenzo, Manuel, 1854-1902."
"Arrúe Valle, Alberto, 1878-1944."
"Arrue, Ramiro, 1892-1971."
"Araujo Ruano, Joaquín, 1850-1894."
"Arcayna, Pere, active 1368-1407."
"Arco, Alonso del, approximately 1625-1704."
"Asensio, Joaquín, 1890-1961."
"Arteta, Aurelio, 1879-1940."
"Arenys Galdón, Ricard, 1914-1977."
"Asorey, Francisco, 1889-1961."
"López de Gámiz, Pedro, approximately 1527-1588."
"Argelés, Rafael, 1894-1979."
"Atalaya González, Enrique, 1851-1914."
"Atché, Rafael, 1854-1923."
"Arias, Ignacio, active 1652."
"Ávalos, Juan de, 1911-2006."
"Arias, Francisco, 1911-1977."
"Avendaño, Serafín, 1838-1916."
"Arias Fernández, Antonio, 1620-1684."
"Avila, Pedro de, active 1610."
"Avrial y Flores, José María, 1807-1891."
"Amárica, Fernando de, 1866-1956."
"Aznar y García, Francisco, -1911."
"Augusto, Alfredo, 1887 or 1888-"
"Aparicio, José, 1773-1838."
"Gallego Marquina, Jesús, 1900-1987."
"Barroso, Miguel, approximately 1538-1590."
"Tizón, Artos, active 1581."
"Sánchez Barbudo, Salvador, 1857-1917."
"Ferrer Puig, Guillermo, 1759-1833."
"Badrinas Escudé, Antonio, 1882-1969."
