"Capuleto, Francisco",1978
"Carbona Balaguer, María Angeles (or Maria dels Angels)",1944
"Cardellà Crusells, Joan (or Juan)",1978
"Cárdenas, Juan Ignacio de",1989
"Caro Herrera, Antonio","1894,1899"
"Carrasco Díaz, Francisco",1943
"Carrasco, Vicente","1908,1910"
"Carreño, Emilio Julio",1951
"Carreras Martí, Joaquim (or Joaquín)",1944
"Carreras Obrador, Josep (or José)",1944
"Carretero Gomis, Josep",1952
"Carrión Valverde, Antonio",1862
"Casals Grau, Vicenç (or Vicente)",1951
"Casals Maynou, Juli (or Julio)",1950
"Casán Matamala, Josep (or José)",1907
"Casas Devesa, Joan (or Juan)",1946
"Casenave y Pérez, José","1892,1895"
"Cases Capó, José (or Josep)",1975
"Castañer, Ramón",1951
"Castaño Guerrero, Miguel","1881,1882"
"Castaños Agáñez, Manuel",1910
"Castaños Oller, Rodrigo",1914
"Castedo, Julián",1938
"Castelló y González del Campo, Antonio","1845,1855"
"Castillo Olivares, Pedro del",1974
"Castillo, Aurelio del",1927
"Castillo, Jorge",1992
"Castro Cires, Raimundo",1929
"Castro Llamas, José",1951
"Castro, Carlos",1864
"Causarás Casaña, Ricardo",1929
"Causarás Tarazona, Lluís (or Luis)",1944
"Cebrián, Gregorio",1951
"Celis Gutiérrez, Agustín de",1990
"Cerveto Riba, Ricard (or Ricardo)",1944
"Chamorro Aguilar, Joaquín",1964
"Chicharro Gamo, José",1926
"Chico, José Manuel",1989
"Chicote, Victoriano","1901,1904"
"Chillida, Eduardo",1992
"Choquet, Luciano",1862
"Ciria, Javier",1972
"Clapera Argelaguer, Pere (or Pedro)",1953
"Claramunt Poch, Salvador",1944
"Claret, Joan (or Juan)",1976
"Clavo Gil, Vicente",1972
"Climent Mata, Francisco (or Francesc)",1951
"Cobos Linderman, Josep (or José)",1944
"Codina Sert, Ginés (or Genís)",1900
"Colinas Quirós, Ceferino",1930
"Coll Gispert, Marcos",1915
"Coll Salieti, Joaquim (or Joaquín)","1898,1918"
"Collar, Antonio",1968
"Colomer Rovira, Trinitat (or Trinidad)",1944
"Comallonga Palau, Lluís (or Luis)",1944
"Comas Ortega, Pedro",1944
"Conill Orriols, Jacint (or Jacinto)",1976
"Conradi, Miguel Angel",1978
"Corberó Trepat, Valeri (or Valerio)",1977
"Corbi, Juan",1924
"Corchón, José María",1864
"Cordón Bonet, Faustino",1951
"Corominas Casanovas, Joan","1918,1920"
"Corona Gómez Gamero, Elías",1908
"Corro, Cecilio","1834,op.1866"
"Cortellini y Sánchez, Angel","1881,1892"
"Cortés Bau, José","1872,1879"
