RN,FRECN,ALT,authority,search,authimport
4958,2537,"Bernardo, Fray","Gontier, Bernat (or Bernardo)","Bernardo, Fray;  Gontier, Bernat (or Bernardo)","Gontier, Bernat (or Bernardo)"
4959,2537,"Bernardo, Master","Gontier, Bernat (or Bernardo)","Bernardo, Master;  Gontier, Bernat (or Bernardo)","Gontier, Bernat (or Bernardo)"
4960,2537,"Bernat, Master","Gontier, Bernat (or Bernardo)","Bernat, Master;  Gontier, Bernat (or Bernardo)","Gontier, Bernat (or Bernardo)"
4961,2537,"Gonter, Bernardo (or Bernat)","Gontier, Bernat (or Bernardo)","Gonter, Bernardo (or Bernat);  Gontier, Bernat (or Bernardo)","Gontier, Bernat (or Bernardo)"
4962,2537,"Gonter, Master Bernardo (or Bernat)","Gontier, Bernat (or Bernardo)","Gonter, Master Bernardo (or Bernat);  Gontier, Bernat (or Bernardo)","Gontier, Bernat (or Bernardo)"
4963,2537,"Gontier, Fray Bernardo","Gontier, Bernat (or Bernardo)","Gontier, Fray Bernardo;  Gontier, Bernat (or Bernardo)","Gontier, Bernat (or Bernardo)"
4964,2537,"Gontier, Master Bernardo","Gontier, Bernat (or Bernardo)","Gontier, Master Bernardo;  Gontier, Bernat (or Bernardo)","Gontier, Bernat (or Bernardo)"
4965,2538,"Gavilondo, Isidro Gil*","Gil y Gavilondo, Isidro (or Isidoro)","Gavilondo, Isidro Gil*;  Gil y Gavilondo, Isidro (or Isidoro)","Gil y Gavilondo, Isidro (or Isidoro)"
4966,2538,"Gil y Gabilondo, Isidro (or Isidoro)","Gil y Gavilondo, Isidro (or Isidoro)","Gil y Gabilondo, Isidro (or Isidoro);  Gil y Gavilondo, Isidro (or Isidoro)","Gil y Gavilondo, Isidro (or Isidoro)"
4967,2539,"Giráldez y Penalver, Adolfo","Giráldez y Peñalver, Adolfo","Giráldez y Penalver, Adolfo;  Giráldez y Peñalver, Adolfo","Giráldez y Peñalver, Adolfo"
4968,2539,"Giráldez y Peñalver, Antonio","Giráldez y Peñalver, Adolfo","Giráldez y Peñalver, Antonio;  Giráldez y Peñalver, Adolfo","Giráldez y Peñalver, Adolfo"
4969,2539,"Peñalver, Adolfo Giráldez*","Giráldez y Peñalver, Adolfo","Peñalver, Adolfo Giráldez*;  Giráldez y Peñalver, Adolfo","Giráldez y Peñalver, Adolfo"
4970,2540,"Gómez, Germán","Gómez Niederleytner, Germán","Gómez, Germán;  Gómez Niederleytner, Germán","Gómez Niederleytner, Germán"
4971,2540,"Gómez Nederleytner, Germán","Gómez Niederleytner, Germán","Gómez Nederleytner, Germán;  Gómez Niederleytner, Germán","Gómez Niederleytner, Germán"
4972,2540,"Gómez Niedeleitner, Germán","Gómez Niederleytner, Germán","Gómez Niedeleitner, Germán;  Gómez Niederleytner, Germán","Gómez Niederleytner, Germán"
4973,2540,"Gómez Niederleitner, Germán","Gómez Niederleytner, Germán","Gómez Niederleitner, Germán;  Gómez Niederleytner, Germán","Gómez Niederleytner, Germán"
4974,2540,"Nieder Leytner, Germán","Gómez Niederleytner, Germán","Nieder Leytner, Germán;  Gómez Niederleytner, Germán","Gómez Niederleytner, Germán"
4975,2540,"Niederleitner, Germán Gómez*","Gómez Niederleytner, Germán","Niederleitner, Germán Gómez*;  Gómez Niederleytner, Germán","Gómez Niederleytner, Germán"
4976,2541,"Plasent, Vicente Gómez*","Gómez Plasent, Vicente","Plasent, Vicente Gómez*;  Gómez Plasent, Vicente","Gómez Plasent, Vicente"
4977,2542,"Gibert, Pablo (or Pau)","Gibert Roig, Pau (or Pablo)","Gibert, Pablo (or Pau);  Gibert Roig, Pau (or Pablo)","Gibert Roig, Pau (or Pablo)"
4978,2542,"Gibert y Raig, Pablo","Gibert Roig, Pau (or Pablo)","Gibert y Raig, Pablo;  Gibert Roig, Pau (or Pablo)","Gibert Roig, Pau (or Pablo)"
4979,2542,"Roig, Pau Gibert*","Gibert Roig, Pau (or Pablo)","Roig, Pau Gibert*;  Gibert Roig, Pau (or Pablo)","Gibert Roig, Pau (or Pablo)"
4980,2543,Armisén Master,"Giner, Francisco","Armisén Master;  Giner, Francisco","Giner, Francisco"
4981,2543,Master of Armisén,"Giner, Francisco","Master of Armisén;  Giner, Francisco","Giner, Francisco"
4982,2544,"Jiménez el Panadero, Juan Rodríguez*","Rodríguez y Jiménez el Panadero, Juan","Jiménez el Panadero, Juan Rodríguez*;  Rodríguez y Jiménez el Panadero, Juan","Rodríguez y Jiménez el Panadero, Juan"
4983,2544,"Panadero, El","Rodríguez y Jiménez el Panadero, Juan","Panadero, El;  Rodríguez y Jiménez el Panadero, Juan","Rodríguez y Jiménez el Panadero, Juan"
4984,2544,"Rodríguez (el) Panadero, Juan","Rodríguez y Jiménez el Panadero, Juan","Rodríguez (el) Panadero, Juan;  Rodríguez y Jiménez el Panadero, Juan","Rodríguez y Jiménez el Panadero, Juan"
4985,2544,"Rodríguez Jiménez, Juan","Rodríguez y Jiménez el Panadero, Juan","Rodríguez Jiménez, Juan;  Rodríguez y Jiménez el Panadero, Juan","Rodríguez y Jiménez el Panadero, Juan"
4986,2544,"Rodríguez Jiménez el Panadero, José","Rodríguez y Jiménez el Panadero, Juan","Rodríguez Jiménez el Panadero, José;  Rodríguez y Jiménez el Panadero, Juan","Rodríguez y Jiménez el Panadero, Juan"
4987,2544,"Rodríguez y Jiménez el Pandero, Juan","Rodríguez y Jiménez el Panadero, Juan","Rodríguez y Jiménez el Pandero, Juan;  Rodríguez y Jiménez el Panadero, Juan","Rodríguez y Jiménez el Panadero, Juan"
4988,2544,"Rodríguez Jiménez el Tahonero, Juan","Rodríguez y Jiménez el Panadero, Juan","Rodríguez Jiménez el Tahonero, Juan;  Rodríguez y Jiménez el Panadero, Juan","Rodríguez y Jiménez el Panadero, Juan"
4989,2547,"Pérez, Angel Tomás*","Tomás Pérez, Angel","Pérez, Angel Tomás*;  Tomás Pérez, Angel","Tomás Pérez, Angel"
4990,2547,"Tomás, Angel","Tomás Pérez, Angel","Tomás, Angel;  Tomás Pérez, Angel","Tomás Pérez, Angel"
4991,2548,"Martín, Juan Abelló*","Abelló Martín, Juan (or Joan)","Martín, Juan Abelló*;  Abelló Martín, Juan (or Joan)","Abelló Martín, Juan (or Joan)"
4992,2549,"Pescador, José Sánchez*","Sánchez Pescador, José","Pescador, José Sánchez*;  Sánchez Pescador, José","Sánchez Pescador, José"
507,255,"Balaca, José","Balaca y Carrión, José","Balaca, José;  Balaca y Carrión, José","Balaca y Carrión, José"
508,255,"Carrión, José Balaca*","Balaca y Carrión, José","Carrión, José Balaca*;  Balaca y Carrión, José","Balaca y Carrión, José"
4993,2550,"Ferrán, Ramón","Ferrán Pagés, Ramón","Ferrán, Ramón;  Ferrán Pagés, Ramón","Ferrán Pagés, Ramón"
4994,2550,"Pagés, Ramón Ferrán*","Ferrán Pagés, Ramón","Pagés, Ramón Ferrán*;  Ferrán Pagés, Ramón","Ferrán Pagés, Ramón"
4995,2551,"De Rivera Durazo y Santo Padre, Luis Egidio Meléndez","Meléndez, Luis","De Rivera Durazo y Santo Padre, Luis Egidio Meléndez;  Meléndez, Luis","Meléndez, Luis"
4996,2551,"Durazo y Santo Padre, Luis Egidio Meléndez de Rivera","Meléndez, Luis","Durazo y Santo Padre, Luis Egidio Meléndez de Rivera;  Meléndez, Luis","Meléndez, Luis"
4997,2551,Meléndez,"Meléndez, Luis","Meléndez;  Meléndez, Luis","Meléndez, Luis"
4998,2551,"Meléndez, Luis Egidio","Meléndez, Luis","Meléndez, Luis Egidio;  Meléndez, Luis","Meléndez, Luis"
4999,2551,"Meléndez, Luis Eugenio","Meléndez, Luis","Meléndez, Luis Eugenio;  Meléndez, Luis","Meléndez, Luis"
5000,2551,"Meléndez de Ribera, Luis Egidio","Meléndez, Luis","Meléndez de Ribera, Luis Egidio;  Meléndez, Luis","Meléndez, Luis"
5001,2551,"Meléndez de Rivera Durazo, Luis Eugenio","Meléndez, Luis","Meléndez de Rivera Durazo, Luis Eugenio;  Meléndez, Luis","Meléndez, Luis"
5002,2551,"Meléndez de Rivera Durazo y Santo Padre, Luis Egidio","Meléndez, Luis","Meléndez de Rivera Durazo y Santo Padre, Luis Egidio;  Meléndez, Luis","Meléndez, Luis"
5003,2551,"Menéndez, Luis","Meléndez, Luis","Menéndez, Luis;  Meléndez, Luis","Meléndez, Luis"
5004,2551,"Menéndez, Luis Eugenio","Meléndez, Luis","Menéndez, Luis Eugenio;  Meléndez, Luis","Meléndez, Luis"
5005,2551,"Menéndez de Rivera Durazo y Sampedro, Luis","Meléndez, Luis","Menéndez de Rivera Durazo y Sampedro, Luis;  Meléndez, Luis","Meléndez, Luis"
5006,2551,"Menéndez de Rivera Durazo y San Pedro, Luis","Meléndez, Luis","Menéndez de Rivera Durazo y San Pedro, Luis;  Meléndez, Luis","Meléndez, Luis"
5007,2551,"Rivera Durazo y Santo Padre, Luis Egidio Meléndez de","Meléndez, Luis","Rivera Durazo y Santo Padre, Luis Egidio Meléndez de;  Meléndez, Luis","Meléndez, Luis"
5008,2551,"Santo Padre, Luis Egidio Meléndez de Rivera Durazo y","Meléndez, Luis","Santo Padre, Luis Egidio Meléndez de Rivera Durazo y;  Meléndez, Luis","Meléndez, Luis"
5009,2552,"Alcázar, Luis Paret y","Paret y Alcázar, Luis","Alcázar, Luis Paret y;  Paret y Alcázar, Luis","Paret y Alcázar, Luis"
5010,2552,"Paret, Luis","Paret y Alcázar, Luis","Paret, Luis;  Paret y Alcázar, Luis","Paret y Alcázar, Luis"
5011,2552,"Parez y Alcázar, Luis","Paret y Alcázar, Luis","Parez y Alcázar, Luis;  Paret y Alcázar, Luis","Paret y Alcázar, Luis"
5012,2552,"Saturnino, Luis Pablo","Paret y Alcázar, Luis","Saturnino, Luis Pablo;  Paret y Alcázar, Luis","Paret y Alcázar, Luis"
5013,2553,"Rodrigue, Ventura","Rodríguez, Ventura","Rodrigue, Ventura;  Rodríguez, Ventura","Rodríguez, Ventura"
5014,2553,"Rodríguez Tizón, Ventura","Rodríguez, Ventura","Rodríguez Tizón, Ventura;  Rodríguez, Ventura","Rodríguez, Ventura"
5015,2553,"Tizón, Ventura Rodríguez","Rodríguez, Ventura","Tizón, Ventura Rodríguez;  Rodríguez, Ventura","Rodríguez, Ventura"
5016,2554,"De Villanueva, Diego","Villanueva, Diego de","De Villanueva, Diego;  Villanueva, Diego de","Villanueva, Diego de"
5017,2555,"De Maella, Mariano Salvador","Maella, Mariano Salvador","De Maella, Mariano Salvador;  Maella, Mariano Salvador","Maella, Mariano Salvador"
5018,2555,"Maella, Mariano","Maella, Mariano Salvador","Maella, Mariano;  Maella, Mariano Salvador","Maella, Mariano Salvador"
5019,2555,"Salvador Maella, Mariano","Maella, Mariano Salvador","Salvador Maella, Mariano;  Maella, Mariano Salvador","Maella, Mariano Salvador"
5020,2556,Enneco,"Garseani, Enneco (or Eneco)","Enneco;  Garseani, Enneco (or Eneco)","Garseani, Enneco (or Eneco)"
5021,2556,Enneco Garseani,"Garseani, Enneco (or Eneco)","Enneco Garseani;  Garseani, Enneco (or Eneco)","Garseani, Enneco (or Eneco)"
5022,2556,"García, Iñigo","Garseani, Enneco (or Eneco)","García, Iñigo;  Garseani, Enneco (or Eneco)","Garseani, Enneco (or Eneco)"
5023,2557,"Guevara, Juan Nino de","Niño de Guevara, Juan","Guevara, Juan Nino de;  Niño de Guevara, Juan","Niño de Guevara, Juan"
5024,2557,"Guevara, Juan Niño de","Niño de Guevara, Juan","Guevara, Juan Niño de;  Niño de Guevara, Juan","Niño de Guevara, Juan"
5025,2557,Niño de Guevara,"Niño de Guevara, Juan","Niño de Guevara;  Niño de Guevara, Juan","Niño de Guevara, Juan"
5026,2559,"García, Juan José","García y García, Juan José","García, Juan José;  García y García, Juan José","García y García, Juan José"
5027,2559,Juan José,"García y García, Juan José","Juan José;  García y García, Juan José","García y García, Juan José"
509,256,"Balaca, Ricardo","Balaca y Canseco, Ricardo","Balaca, Ricardo;  Balaca y Canseco, Ricardo","Balaca y Canseco, Ricardo"
510,256,"Balaca y Orejas-Canseco, Ricardo","Balaca y Canseco, Ricardo","Balaca y Orejas-Canseco, Ricardo;  Balaca y Canseco, Ricardo","Balaca y Canseco, Ricardo"
511,256,"Canseco, Ricardo Balaca*","Balaca y Canseco, Ricardo","Canseco, Ricardo Balaca*;  Balaca y Canseco, Ricardo","Balaca y Canseco, Ricardo"
5028,2560,"Garnelo, José Ramón","Garnelo Gonzálvez, José Ramón","Garnelo, José Ramón;  Garnelo Gonzálvez, José Ramón","Garnelo Gonzálvez, José Ramón"
5029,2560,"Garnelo Gonzálbez, José Ramón","Garnelo Gonzálvez, José Ramón","Garnelo Gonzálbez, José Ramón;  Garnelo Gonzálvez, José Ramón","Garnelo Gonzálvez, José Ramón"
5030,2560,"Garnelo y González, José Ramón","Garnelo Gonzálvez, José Ramón","Garnelo y González, José Ramón;  Garnelo Gonzálvez, José Ramón","Garnelo Gonzálvez, José Ramón"
5031,2560,"Garnelo Gonzálvez, Ramón","Garnelo Gonzálvez, José Ramón","Garnelo Gonzálvez, Ramón;  Garnelo Gonzálvez, José Ramón","Garnelo Gonzálvez, José Ramón"
5032,2560,"Gonzálvez, José Ramón Garnelo*","Garnelo Gonzálvez, José Ramón","Gonzálvez, José Ramón Garnelo*;  Garnelo Gonzálvez, José Ramón","Garnelo Gonzálvez, José Ramón"
5033,2561,"Giralt, Agustí","Giralt, Augustín","Giralt, Agustí;  Giralt, Augustín","Giralt, Augustín"
5034,2562,"Gallango, Felipe Gil*","Gil Gallango, Felipe","Gallango, Felipe Gil*;  Gil Gallango, Felipe","Gil Gallango, Felipe"
5035,2562,"Gil, Felipe","Gil Gallango, Felipe","Gil, Felipe;  Gil Gallango, Felipe","Gil Gallango, Felipe"
5036,2562,"Gil Gallangos, Felipe","Gil Gallango, Felipe","Gil Gallangos, Felipe;  Gil Gallango, Felipe","Gil Gallango, Felipe"
5037,2562,"Gil Gayangos, Felipe","Gil Gallango, Felipe","Gil Gayangos, Felipe;  Gil Gallango, Felipe","Gil Gallango, Felipe"
5038,2563,García,"Garsia, Stephanus (or Stefanus)","García;  Garsia, Stephanus (or Stefanus)","Garsia, Stephanus (or Stefanus)"
5039,2563,"García, Esteban","Garsia, Stephanus (or Stefanus)","García, Esteban;  Garsia, Stephanus (or Stefanus)","Garsia, Stephanus (or Stefanus)"
5040,2563,"García, Estéfano","Garsia, Stephanus (or Stefanus)","García, Estéfano;  Garsia, Stephanus (or Stefanus)","Garsia, Stephanus (or Stefanus)"
5041,2563,"García, Stephanus","Garsia, Stephanus (or Stefanus)","García, Stephanus;  Garsia, Stephanus (or Stefanus)","Garsia, Stephanus (or Stefanus)"
5042,2563,Garsea,"Garsia, Stephanus (or Stefanus)","Garsea;  Garsia, Stephanus (or Stefanus)","Garsia, Stephanus (or Stefanus)"
5043,2563,"Garsía, Esteban","Garsia, Stephanus (or Stefanus)","Garsía, Esteban;  Garsia, Stephanus (or Stefanus)","Garsia, Stephanus (or Stefanus)"
5044,2563,Garsia Placidus,"Garsia, Stephanus (or Stefanus)","Garsia Placidus;  Garsia, Stephanus (or Stefanus)","Garsia, Stephanus (or Stefanus)"
5045,2563,"Garsia Placidus, Stephanus","Garsia, Stephanus (or Stefanus)","Garsia Placidus, Stephanus;  Garsia, Stephanus (or Stefanus)","Garsia, Stephanus (or Stefanus)"
5046,2563,Garsia Stephanus,"Garsia, Stephanus (or Stefanus)","Garsia Stephanus;  Garsia, Stephanus (or Stefanus)","Garsia, Stephanus (or Stefanus)"
5047,2563,"Placidos, Stephanus Garsia*","Garsia, Stephanus (or Stefanus)","Placidos, Stephanus Garsia*;  Garsia, Stephanus (or Stefanus)","Garsia, Stephanus (or Stefanus)"
5048,2563,Stefhanus Garsea Placidus,"Garsia, Stephanus (or Stefanus)","Stefhanus Garsea Placidus;  Garsia, Stephanus (or Stefanus)","Garsia, Stephanus (or Stefanus)"
5049,2563,Stephanus Garsia,"Garsia, Stephanus (or Stefanus)","Stephanus Garsia;  Garsia, Stephanus (or Stefanus)","Garsia, Stephanus (or Stefanus)"
5050,2563,Stephanus Garsia Placidus,"Garsia, Stephanus (or Stefanus)","Stephanus Garsia Placidus;  Garsia, Stephanus (or Stefanus)","Garsia, Stephanus (or Stefanus)"
5051,2563,Stephanus Placidus,"Garsia, Stephanus (or Stefanus)","Stephanus Placidus;  Garsia, Stephanus (or Stefanus)","Garsia, Stephanus (or Stefanus)"
5052,2564,Gualtero,Gualterio,Gualtero;  Gualterio,Gualterio
5053,2565,"García de Santiado, Bartolomé","García de Santiago, Bartolomé","García de Santiado, Bartolomé;  García de Santiago, Bartolomé","García de Santiago, Bartolomé"
5054,2565,"Santiago, Bartolomé García de*","García de Santiago, Bartolomé","Santiago, Bartolomé García de*;  García de Santiago, Bartolomé","García de Santiago, Bartolomé"
5055,2566,"Guadalupe, P. de","Guadalupe, Pedro de","Guadalupe, P. de;  Guadalupe, Pedro de","Guadalupe, Pedro de"
5056,2566,Pedro de Guadalupe,"Guadalupe, Pedro de","Pedro de Guadalupe;  Guadalupe, Pedro de","Guadalupe, Pedro de"
5057,2567,"Alsina, Aureli Tolosa*","Tolosa Alsina, Aureli (or Aurelio)","Alsina, Aureli Tolosa*;  Tolosa Alsina, Aureli (or Aurelio)","Tolosa Alsina, Aureli (or Aurelio)"
5058,2567,"Tolosa, Aureli (or Aurelio)","Tolosa Alsina, Aureli (or Aurelio)","Tolosa, Aureli (or Aurelio);  Tolosa Alsina, Aureli (or Aurelio)","Tolosa Alsina, Aureli (or Aurelio)"
5059,2568,"Coello, Alonso Sánchez","Sánchez Coello, Alonso (or Alonzo)","Coello, Alonso Sánchez;  Sánchez Coello, Alonso (or Alonzo)","Sánchez Coello, Alonso (or Alonzo)"
5060,2568,Sánchez Coello,"Sánchez Coello, Alonso (or Alonzo)","Sánchez Coello;  Sánchez Coello, Alonso (or Alonzo)","Sánchez Coello, Alonso (or Alonzo)"
5061,2568,"Sánchez Galván y Coello, Alonzo","Sánchez Coello, Alonso (or Alonzo)","Sánchez Galván y Coello, Alonzo;  Sánchez Coello, Alonso (or Alonzo)","Sánchez Coello, Alonso (or Alonzo)"
512,257,"Balaca y Orejas-Canseco, Eduardo","Balaca y Canseco, Eduardo","Balaca y Orejas-Canseco, Eduardo;  Balaca y Canseco, Eduardo","Balaca y Canseco, Eduardo"
513,257,"Canseco, Eduardo Balaca*","Balaca y Canseco, Eduardo","Canseco, Eduardo Balaca*;  Balaca y Canseco, Eduardo","Balaca y Canseco, Eduardo"
5062,2571,"Marc, Miguel","March, Miguel","Marc, Miguel;  March, Miguel","March, Miguel"
5063,2572,"Silva, Diego de","Velázquez, Diego","Silva, Diego de;  Velázquez, Diego","Velázquez, Diego"
5064,2572,"Velasquez, Diego","Velázquez, Diego","Velasquez, Diego;  Velázquez, Diego","Velázquez, Diego"
5065,2572,Velázquez,"Velázquez, Diego","Velázquez;  Velázquez, Diego","Velázquez, Diego"
5066,2572,"Velázquez, Diego de Silva (y)","Velázquez, Diego","Velázquez, Diego de Silva (y);  Velázquez, Diego","Velázquez, Diego"
5067,2572,"Velázquez, Diego Rodríguez de Silva (y)","Velázquez, Diego","Velázquez, Diego Rodríguez de Silva (y);  Velázquez, Diego","Velázquez, Diego"
5068,2572,"Velázquez de (or y) Silva, Diego (de)","Velázquez, Diego","Velázquez de (or y) Silva, Diego (de);  Velázquez, Diego","Velázquez, Diego"
5069,2573,"Borbón, María Luisa de","María Luisa de Parma (Reina de España), [S.M.] (Doña)","Borbón, María Luisa de;  María Luisa de Parma (Reina de España), [S.M.] (Doña)","María Luisa de Parma (Reina de España), [S.M.] (Doña)"
5070,2573,"Borbón, María Luisa de, Reina de España","María Luisa de Parma (Reina de España), [S.M.] (Doña)","Borbón, María Luisa de, Reina de España;  María Luisa de Parma (Reina de España), [S.M.] (Doña)","María Luisa de Parma (Reina de España), [S.M.] (Doña)"
5071,2573,"Maria Louisa, consort of Carlos IV, King of Spain","María Luisa de Parma (Reina de España), [S.M.] (Doña)","Maria Louisa, consort of Carlos IV, King of Spain;  María Luisa de Parma (Reina de España), [S.M.] (Doña)","María Luisa de Parma (Reina de España), [S.M.] (Doña)"
5072,2573,María Luisa,"María Luisa de Parma (Reina de España), [S.M.] (Doña)","María Luisa;  María Luisa de Parma (Reina de España), [S.M.] (Doña)","María Luisa de Parma (Reina de España), [S.M.] (Doña)"
5073,2573,"María Luisa, consort of Carlos IV, King of Spain","María Luisa de Parma (Reina de España), [S.M.] (Doña)","María Luisa, consort of Carlos IV, King of Spain;  María Luisa de Parma (Reina de España), [S.M.] (Doña)","María Luisa de Parma (Reina de España), [S.M.] (Doña)"
5074,2573,María Luisa Teresa de Parma (Reina de España),"María Luisa de Parma (Reina de España), [S.M.] (Doña)","María Luisa Teresa de Parma (Reina de España);  María Luisa de Parma (Reina de España), [S.M.] (Doña)","María Luisa de Parma (Reina de España), [S.M.] (Doña)"
5075,2573,"Mary Louise Theresa, consort of Carlos IV, King of Spain","María Luisa de Parma (Reina de España), [S.M.] (Doña)","Mary Louise Theresa, consort of Carlos IV, King of Spain;  María Luisa de Parma (Reina de España), [S.M.] (Doña)","María Luisa de Parma (Reina de España), [S.M.] (Doña)"
5076,2573,"Parma, María Luisa de*","María Luisa de Parma (Reina de España), [S.M.] (Doña)","Parma, María Luisa de*;  María Luisa de Parma (Reina de España), [S.M.] (Doña)","María Luisa de Parma (Reina de España), [S.M.] (Doña)"
5077,2574,"Pizzaro, Antonio","Pizarro, Antón (or Antonio)","Pizzaro, Antonio;  Pizarro, Antón (or Antonio)","Pizarro, Antón (or Antonio)"
5078,2575,"Bassano Español, El","Orrente, Pedro","Bassano Español, El;  Orrente, Pedro","Orrente, Pedro"
5079,2575,"Jumilla, Pedro de Orrente*","Orrente, Pedro","Jumilla, Pedro de Orrente*;  Orrente, Pedro","Orrente, Pedro"
5080,2575,"Orrente y Jumilla, Pedro de","Orrente, Pedro","Orrente y Jumilla, Pedro de;  Orrente, Pedro","Orrente, Pedro"
5081,2575,"Rente, Pedro","Orrente, Pedro","Rente, Pedro;  Orrente, Pedro","Orrente, Pedro"
5082,2576,"Maino, Fray Juan Baptista (or Bautista) (del)","Maino, Fray Juan Bautista","Maino, Fray Juan Baptista (or Bautista) (del);  Maino, Fray Juan Bautista","Maino, Fray Juan Bautista"
5083,2576,"Maino, Juan Bautista","Maino, Fray Juan Bautista","Maino, Juan Bautista;  Maino, Fray Juan Bautista","Maino, Fray Juan Bautista"
5084,2576,"Mayno, Fray Juan Baptista","Maino, Fray Juan Bautista","Mayno, Fray Juan Baptista;  Maino, Fray Juan Bautista","Maino, Fray Juan Bautista"
5085,2576,"Mayno, (Fray) Juan Bautista","Maino, Fray Juan Bautista","Mayno, (Fray) Juan Bautista;  Maino, Fray Juan Bautista","Maino, Fray Juan Bautista"
5086,2577,Iriarte,"Iriarte, Ignacio de","Iriarte;  Iriarte, Ignacio de","Iriarte, Ignacio de"
5087,2579,"López, Vicente","López Portaña, Vicente (or Vicent, or Vincente)","López, Vicente;  López Portaña, Vicente (or Vicent, or Vincente)","López Portaña, Vicente (or Vicent, or Vincente)"
5088,2579,"López y Portana, Vicente","López Portaña, Vicente (or Vicent, or Vincente)","López y Portana, Vicente;  López Portaña, Vicente (or Vicent, or Vincente)","López Portaña, Vicente (or Vicent, or Vincente)"
5089,2579,"López Portaña, Vicente Januario Ignacio","López Portaña, Vicente (or Vicent, or Vincente)","López Portaña, Vicente Januario Ignacio;  López Portaña, Vicente (or Vicent, or Vincente)","López Portaña, Vicente (or Vicent, or Vincente)"
5090,2579,"López Portaña, Vicente Januario Ignacio de Loyola","López Portaña, Vicente (or Vicent, or Vincente)","López Portaña, Vicente Januario Ignacio de Loyola;  López Portaña, Vicente (or Vicent, or Vincente)","López Portaña, Vicente (or Vicent, or Vincente)"
5091,2579,"Portaña, Vicente Januario Ignacio de Loyola López","López Portaña, Vicente (or Vicent, or Vincente)","Portaña, Vicente Januario Ignacio de Loyola López;  López Portaña, Vicente (or Vicent, or Vincente)","López Portaña, Vicente (or Vicent, or Vincente)"
514,258,"Balasch, Mateo (or Mateu)","Balasch Mateu, Mateo (or Mateu)","Balasch, Mateo (or Mateu);  Balasch Mateu, Mateo (or Mateu)","Balasch Mateu, Mateo (or Mateu)"
515,258,"Mateu, Mateo Balasch*","Balasch Mateu, Mateo (or Mateu)","Mateu, Mateo Balasch*;  Balasch Mateu, Mateo (or Mateu)","Balasch Mateu, Mateo (or Mateu)"
5092,2580,"López de Calle, Mariano de Madrazo*","Madrazo y López de Calle, Mariano de","López de Calle, Mariano de Madrazo*;  Madrazo y López de Calle, Mariano de","Madrazo y López de Calle, Mariano de"
5093,2580,"Madrazo, Mariano de","Madrazo y López de Calle, Mariano de","Madrazo, Mariano de;  Madrazo y López de Calle, Mariano de","Madrazo y López de Calle, Mariano de"
5094,2581,"Ferrer, María Gatuellas*","Gatuellas Ferrer, María","Ferrer, María Gatuellas*;  Gatuellas Ferrer, María","Gatuellas Ferrer, María"
5095,2581,"Gatuelles Ferrer, María","Gatuellas Ferrer, María","Gatuelles Ferrer, María;  Gatuellas Ferrer, María","Gatuellas Ferrer, María"
5096,2582,"Estéban Murillo, Bartolomé","Murillo, Bartolomé Esteban","Estéban Murillo, Bartolomé;  Murillo, Bartolomé Esteban","Murillo, Bartolomé Esteban"
5097,2582,"Muriló, Bartolome Estevan","Murillo, Bartolomé Esteban","Muriló, Bartolome Estevan;  Murillo, Bartolomé Esteban","Murillo, Bartolomé Esteban"
5098,2582,Murillo,"Murillo, Bartolomé Esteban","Murillo;  Murillo, Bartolomé Esteban","Murillo, Bartolomé Esteban"
5099,2583,"Kuntz, Federico de Madrazo*","Madrazo y Kuntz, Federico  (or Federigo, or Frederico) de","Kuntz, Federico de Madrazo*;  Madrazo y Kuntz, Federico  (or Federigo, or Frederico) de","Madrazo y Kuntz, Federico  (or Federigo, or Frederico) de"
5100,2583,"Madrazo, Federico (or Federigo) (de)","Madrazo y Kuntz, Federico  (or Federigo, or Frederico) de","Madrazo, Federico (or Federigo) (de);  Madrazo y Kuntz, Federico  (or Federigo, or Frederico) de","Madrazo y Kuntz, Federico  (or Federigo, or Frederico) de"
5101,2583,"Madrazo Kunt, Federico de","Madrazo y Kuntz, Federico  (or Federigo, or Frederico) de","Madrazo Kunt, Federico de;  Madrazo y Kuntz, Federico  (or Federigo, or Frederico) de","Madrazo y Kuntz, Federico  (or Federigo, or Frederico) de"
5102,2584,"Berenguer, Francisco Lameyer y","Lameyer Berenguer, Francisco","Berenguer, Francisco Lameyer y;  Lameyer Berenguer, Francisco","Lameyer Berenguer, Francisco"
5103,2584,"Lamayer Berenguer, Francisco","Lameyer Berenguer, Francisco","Lamayer Berenguer, Francisco;  Lameyer Berenguer, Francisco","Lameyer Berenguer, Francisco"
5104,2584,"Lameyer, F.","Lameyer Berenguer, Francisco","Lameyer, F.;  Lameyer Berenguer, Francisco","Lameyer Berenguer, Francisco"
5105,2584,"Lameyer, Francisco","Lameyer Berenguer, Francisco","Lameyer, Francisco;  Lameyer Berenguer, Francisco","Lameyer Berenguer, Francisco"
5106,2584,"Lameyer y Berenguer, Federico","Lameyer Berenguer, Francisco","Lameyer y Berenguer, Federico;  Lameyer Berenguer, Francisco","Lameyer Berenguer, Francisco"
5107,2585,"Degrain, Antonio Muñoz*","Muñoz Degrain, Antonio","Degrain, Antonio Muñoz*;  Muñoz Degrain, Antonio","Muñoz Degrain, Antonio"
5108,2585,"Muñoz Degrdin, Antonio","Muñoz Degrain, Antonio","Muñoz Degrdin, Antonio;  Muñoz Degrain, Antonio","Muñoz Degrain, Antonio"
