RN,FRECN,ALT,authority,search,authimport
1353,691,"Borduque, Pedro de","Bolduque, Pedro de","Borduque, Pedro de;  Bolduque, Pedro de","Bolduque, Pedro de"
1354,691,"Velduque, Pedro de","Bolduque, Pedro de","Velduque, Pedro de;  Bolduque, Pedro de","Bolduque, Pedro de"
1355,692,Bonafé,"Bonafé, Matías (or Mathías)","Bonafé;  Bonafé, Matías (or Mathías)","Bonafé, Matías (or Mathías)"
1356,692,"Bonafé, Maciá (or Macías)","Bonafé, Matías (or Mathías)","Bonafé, Maciá (or Macías);  Bonafé, Matías (or Mathías)","Bonafé, Matías (or Mathías)"
1357,693,"Bruxelles, Giralte de","Bruselas, Giralte de","Bruxelles, Giralte de;  Bruselas, Giralte de","Bruselas, Giralte de"
1358,693,Giralte,"Bruselas, Giralte de","Giralte;  Bruselas, Giralte de","Bruselas, Giralte de"
1359,693,Giralte de Bruselas,"Bruselas, Giralte de","Giralte de Bruselas;  Bruselas, Giralte de","Bruselas, Giralte de"
1360,696,Ioannes,"Juan, Deacon","Ioannes;  Juan, Deacon","Juan, Deacon"
1361,696,Jean,"Juan, Deacon","Jean;  Juan, Deacon","Juan, Deacon"
1362,696,Johannes,"Juan, Deacon","Johannes;  Juan, Deacon","Juan, Deacon"
1363,696,"Johannes, Deacon","Juan, Deacon","Johannes, Deacon;  Juan, Deacon","Juan, Deacon"
1364,696,Juan,"Juan, Deacon","Juan;  Juan, Deacon","Juan, Deacon"
1365,696,Juan Deacon,"Juan, Deacon","Juan Deacon;  Juan, Deacon","Juan, Deacon"
1366,697,Sanctius,Sancho,Sanctius;  Sancho,Sancho
1367,698,Florent,Florencio,Florent;  Florencio,Florencio
1368,698,Florentius,Florencio,Florentius;  Florencio,Florencio
1369,699,Magio,Magius,Magio;  Magius,Magius
1370,699,Maio,Magius,Maio;  Magius,Magius
1371,699,Maius,Magius,Maius;  Magius,Magius
1372,699,"Majus, Pusillus",Magius,"Majus, Pusillus;  Magius",Magius
19,7,"Abreu, Gabriel","Abreu y Barreda, Gabriel","Abreu, Gabriel;  Abreu y Barreda, Gabriel","Abreu y Barreda, Gabriel"
20,7,"Barreda, Gabriel Abreu*","Abreu y Barreda, Gabriel","Barreda, Gabriel Abreu*;  Abreu y Barreda, Gabriel","Abreu y Barreda, Gabriel"
127,70,"Acuna, Cosme de","Acuña, Cosme","Acuna, Cosme de;  Acuña, Cosme","Acuña, Cosme"
128,70,"Acuña y Troncoso, Cosme (de)","Acuña, Cosme","Acuña y Troncoso, Cosme (de);  Acuña, Cosme","Acuña, Cosme"
129,70,"Troncoso, Cosme Acuña*","Acuña, Cosme","Troncoso, Cosme Acuña*;  Acuña, Cosme","Acuña, Cosme"
1373,701,Emeterius,Emeterio,Emeterius;  Emeterio,Emeterio
1374,703,Vigilán,Vigila,Vigilán;  Vigila,Vigila
1375,703,Vigilán de Albelda,Vigila,Vigilán de Albelda;  Vigila,Vigila
1376,704,Facundus,Facundo,Facundus;  Facundo,Facundo
1377,707,"Cueva, Gonzalo Díaz de la*","Díaz de la Cueva, Gonzalo","Cueva, Gonzalo Díaz de la*;  Díaz de la Cueva, Gonzalo","Díaz de la Cueva, Gonzalo"
1378,708,Dominico,Domingo,Dominico;  Domingo,Domingo
1379,708,Dominicus,Domingo,Dominicus;  Domingo,Domingo
1380,708,Dominique,Domingo,Dominique;  Domingo,Domingo
1381,709,"Coris, Jaime Oates*","Oates Coris, Jaime","Coris, Jaime Oates*;  Oates Coris, Jaime","Oates Coris, Jaime"
1382,709,"Oates Borias, Jaume","Oates Coris, Jaime","Oates Borias, Jaume;  Oates Coris, Jaime","Oates Coris, Jaime"
130,71,"Assensio, Francisco","Asensio y Mejorada, Francisco","Assensio, Francisco;  Asensio y Mejorada, Francisco","Asensio y Mejorada, Francisco"
131,71,"Assencio y Mejorada, Francisco","Asensio y Mejorada, Francisco","Assencio y Mejorada, Francisco;  Asensio y Mejorada, Francisco","Asensio y Mejorada, Francisco"
132,71,"Assensio y Mejorada, Francisco","Asensio y Mejorada, Francisco","Assensio y Mejorada, Francisco;  Asensio y Mejorada, Francisco","Asensio y Mejorada, Francisco"
133,71,"Mejorada, Francisco Asensio*","Asensio y Mejorada, Francisco","Mejorada, Francisco Asensio*;  Asensio y Mejorada, Francisco","Asensio y Mejorada, Francisco"
1383,710,Pedro,Petrus,Pedro;  Petrus,Petrus
1384,711,"Iralzu, Juan de","Irazu, Juan de","Iralzu, Juan de;  Irazu, Juan de","Irazu, Juan de"
1385,711,"Iranzu, Juan de","Irazu, Juan de","Iranzu, Juan de;  Irazu, Juan de","Irazu, Juan de"
1386,711,Irazu,"Irazu, Juan de","Irazu;  Irazu, Juan de","Irazu, Juan de"
1387,711,"Valderrain Irazu, Juan de","Irazu, Juan de","Valderrain Irazu, Juan de;  Irazu, Juan de","Irazu, Juan de"
1388,711,"Yrazu, Joan (or Juan) de","Irazu, Juan de","Yrazu, Joan (or Juan) de;  Irazu, Juan de","Irazu, Juan de"
1389,712,Master of Pedralbes,"Dalmáu, Antoni (or Antonio, or Antonis)","Master of Pedralbes;  Dalmáu, Antoni (or Antonio, or Antonis)","Dalmáu, Antoni (or Antonio, or Antonis)"
1390,715,Amaya,"Amaya, Andrés","Amaya;  Amaya, Andrés","Amaya, Andrés"
1391,717,"Domínguez, José Gambino*","Gambino, José (or Josef)","Domínguez, José Gambino*;  Gambino, José (or Josef)","Gambino, José (or Josef)"
