RN,WNAM,,LCN,FRESCOSH,BDATN,BQN,BQEN,BDQN,DDATN,DQN,DQEN,DDQN,OPRN,OQN,OOQN,WDATES,SDATN,SDAT2N,CENN,CNUMN,SCHN,NSCHP,CLNON,MEDN,NBN,UDATN,FEM,CLN,UNCLN,SUPN,STAMPN,UPN,teaser,SORTNAME,FirstLetter,SEARCH,alts,holdings,bestname,,recid,notes,earliestdate,latestdate,latest,earliest,problem,teasterweb,event,more,teasterweb2,,,
5271,"Lambla, Fany",,"Lambla, Fany, active 1876",,,,,,,,,,1876,exh.,exh.1876,exh.1876,1876,1876,,,Salamanca,Spanish,800,,,,Y,,,,CDEA |D 1994 11 02 |T 15:39:17,CDEA |D 1994 11 02 |T 15:39:17,,"Lambla, Fany",L,"Lambla, Fany Lambila, F.","Lambila, F.",,"Lambla, Fany, active 1876",,2541,Salamanca. ,1876,1876,1876,1876,,,"<event start='1876' end='1876' isDuration='true' title='Lambla, Fany' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1876; Salamanca  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2541'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2541'&gt;more...&lt;/a&gt;,exh.1876; Salamanca,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2541,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2541</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,ULAN
3242,"Lárraga, Josefa María (or Josepha María)",,"Lárraga, Josefa María, -approximately 1738",,,,,,1738,m.c.,,m.c.1738,,,,#NAME?,1738,1738,,,Valencia,Spanish,800,Painter and miniaturist,,,y,,,,DMR |D 1994 05 24 |T 16:07:58,DMR |D 1994 05 24 |T 16:07:58,,"Lárraga, Josefa María (or Josepha María)",L,"Lárraga, Josefa María (or Josepha María) Larraga, Josefa","Larraga, Josefa",,"Lárraga, Josefa María, -approximately 1738",,2561,Valencia. ,1738,1738,1738,1738,,,"<event start='1738' end='1738' isDuration='true' title='Lárraga, Josefa María (or Josepha María)' classname='Painter and miniaturist' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>-m.c.1738; Painter and miniaturist; Valencia  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2561'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2561'&gt;more...&lt;/a&gt;,-m.c.1738; Painter and miniaturist; Valencia,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2561,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2561</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,ULAN
3055,"Laurens Pardo, Margarita",,"Laurens Pardo, Margarita, 1910-",,1910,n.,,n.1910,,,,,1944,op.,op.p.1944,n.1910-op.p.1944,1910,1910,,,Barcelona,Spanish,800,,,,y,,,,IR |D 1994 01 20 |T 15:22:03,IR |D 1994 01 20 |T 15:22:03,,"Laurens Pardo, Margarita",L,"Laurens Pardo, Margarita Pardo, Margarita Laurens*","Pardo, Margarita Laurens*",,"Laurens Pardo, Margarita, 1910-",,2572,Barcelona. ,1910,1944,1944,1910,,,"<event start='1910' end='1944' isDuration='true' title='Laurens Pardo, Margarita' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>n.1910-op.p.1944; Barcelona  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2572'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2572'&gt;more...&lt;/a&gt;,n.1910-op.p.1944; Barcelona,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2572,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2572</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,ULAN
3058,"Legísima, Carmen de",,"Legísima, Carmen de, 1896-1980",,1896,,,1896,1980,,,1980,,,,1896-1980,1896,1896,,,Galicia,Spanish,800,,,,y,,,,IR |D 1994 01 20 |T 15:36:16,IR |D 1994 01 20 |T 15:36:16,,"Legísima, Carmen de",L,"Legísima, Carmen de Legísima, C. de","Legísima, C. de",,"Legísima, Carmen de, 1896-1980",,2581,Galicia. ,1896,1980,1980,1896,,,"<event start='1896' end='1980' isDuration='true' title='Legísima, Carmen de' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>1896-1980; Galicia  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2581'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2581'&gt;more...&lt;/a&gt;,1896-1980; Galicia,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2581,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2581</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,ULAN
5272,"Leigonier, Enriqueta",,"Leigonier, Enriqueta, active 1858-1861",,,,,,,,,,1858-1861,exh.,exh.1858-1861,exh.1858-1861,1858,1858,,,Seville,Spanish,800,,,,Y,,,,CDEA |D 1994 11 02 |T 15:44:51,CDEA |D 1994 11 02 |T 15:44:51,,"Leigonier, Enriqueta",L,"Leigonier, Enriqueta ",,,"Leigonier, Enriqueta, active 1858-1861",,2584,Seville. ,1858,1861,1861,1858,,,"<event start='1858' end='1861' isDuration='true' title='Leigonier, Enriqueta' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1858-1861; Seville  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2584'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2584'&gt;more...&lt;/a&gt;,exh.1858-1861; Seville,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2584,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2584</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,ULAN
2597,"Lengo, Clara",,"Lengo, Clara, active 1881-1882",,,,,,,,,,1881-1882,exh.,exh.1881-1882,exh.1881-1882,1881,1881,,,Madrid,Spanish,800,,,,y,,,,IR |D 1994 01 28 |T 14:58:06,IR |D 1994 01 28 |T 14:58:06,,"Lengo, Clara",L,"Lengo, Clara ",,,"Lengo, Clara, active 1881-1882",,2589,Madrid. ,1881,1882,1882,1881,,,"<event start='1881' end='1882' isDuration='true' title='Lengo, Clara' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1881-1882; Madrid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2589'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2589'&gt;more...&lt;/a&gt;,exh.1881-1882; Madrid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2589,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2589</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,ULAN
5273,"Lerdo de Tejada, Mercedes",,"Lerdo de Tejada, Mercedes, active 1858",,,,,,,,,,1858,exh.,exh.1858,exh.1858,1858,1858,,,Seville,Spanish,800,,,,Y,,,,CDEA |D 1994 11 02 |T 15:49:37,CDEA |D 1994 11 02 |T 15:49:37,,"Lerdo de Tejada, Mercedes",L,"Lerdo de Tejada, Mercedes Tejada, Mercedes Lerdo de*","Tejada, Mercedes Lerdo de*",,"Lerdo de Tejada, Mercedes, active 1858",,2604,Seville. ,1858,1858,1858,1858,,,"<event start='1858' end='1858' isDuration='true' title='Lerdo de Tejada, Mercedes' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1858; Seville  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2604'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2604'&gt;more...&lt;/a&gt;,exh.1858; Seville,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2604,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2604</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,ULAN
3070,"Leroux de Pérez Comendador, Magdalena",,"Leroux de Pérez Comendador, Magdalena, 1902-1986",,1902,,,1902,1986,,,1986,,,,1902-1986,1902,1902,,,,Spanish (?),800,,Wife of the sculptor Enrique Pérez Comendador.,,y,,,,IR |D 1994 01 20 |T 16:53:38,IR |D 1994 01 20 |T 16:53:38,Wife of the sculptor Enrique Pérez Comendador...,"Leroux de Pérez Comendador, Magdalena",L,"Leroux de Pérez Comendador, Magdalena Fleroux Comendador, Magdalena","Fleroux Comendador, Magdalena",,"Leroux de Pérez Comendador, Magdalena, 1902-1986",,2607,Wife of the sculptor Enrique Pérez Comendador.,1902,1986,1986,1902,,Wife of the sculptor Enrique Pérez Comendador... &lt;a href='../montias/browserecord.php?-action=browse&amp;-recid=2607'&gt;more...&lt;/a&gt;,"<event start='1902' end='1986' isDuration='true' title='Leroux de Pérez Comendador, Magdalena' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>1902-1986  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2607'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2607'&gt;more...&lt;/a&gt;,1902-1986,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2607,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2607</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,FRESCO
5274,"Leza y Agort, Irene",,"Leza y Agort, Irene, active 1895",,,,,,,,,,1895,exh.,exh.1895,exh.1895,1895,1895,,,Madrid,Spanish,800,,,,Y,,,,CDEA |D 1994 11 02 |T 15:54:05,CDEA |D 1994 11 02 |T 15:54:05,,"Leza y Agort, Irene",L,"Leza y Agort, Irene Agort, Irene Leza*","Agort, Irene Leza*",,"Leza y Agort, Irene, active 1895",,2612,Madrid. ,1895,1895,1895,1895,,,"<event start='1895' end='1895' isDuration='true' title='Leza y Agort, Irene' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1895; Madrid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2612'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2612'&gt;more...&lt;/a&gt;,exh.1895; Madrid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2612,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2612</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,ULAN
3073,"Lezcano Saracho, Aurora (Marquesa de O'Reilly (or O'Reille))",,"Lezcano Saracho, Aurora, 1912-",,1912,n.,,n.1912,,,,,1991],[doc.,[doc.1991],n.1912-[doc.1991],1912,1912,,,Madrid,Spanish,800,,,,y,,,,IR |D 1994 01 20 |T 17:00:30,IR |D 1994 01 20 |T 17:00:30,,"Lezcano Saracho, Aurora (Marquesa de O'Reilly (or O'Reille))",L,"Lezcano Saracho, Aurora (Marquesa de O'Reilly (or O'Reille)) Lezcano, Aurora","Lezcano, Aurora",,"Lezcano Saracho, Aurora, 1912-",,2613,Madrid. ,1912,991,1991,1912,,,"<event start='1912' end='1991' isDuration='true' title='Lezcano Saracho, Aurora (Marquesa de O'Reilly (or O'Reille))' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>n.1912-[doc.1991]; Madrid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2613'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2613'&gt;more...&lt;/a&gt;,n.1912-[doc.1991]; Madrid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2613,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2613</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,ULAN
3090,"Llimona Benet, Maria",,"Llimona Benet, Maria, 1894-1985",,1894,,,1894,1985,,,1985,,,,1894-1985,1894,1894,,,,Spanish,800,Sculptor,Daughter of the sculptor Josep Llimona Bruguera and wife of the painter Domènec Carles Rosich.,,y,,,5,IR |D 1994 01 21 |T 12:07:01,MLH |D 1998 09 24 |T 12:07:36,Daughter of the sculptor Josep Llimona Bruguera and wife of...,"Llimona Benet, Maria",L,"Llimona Benet, Maria Benet, Maria Llimona*","Benet, Maria Llimona*",5,"Llimona Benet, Maria, 1894-1985",,2639,Daughter of the sculptor Josep Llimona Bruguera and wife of the painter Domènec Carles Rosich.,1894,1985,1985,1894,,Daughter of the sculptor Josep Llimona Bruguera and wife of... &lt;a href='../montias/browserecord.php?-action=browse&amp;-recid=2639'&gt;more...&lt;/a&gt;,"<event start='1894' end='1985' isDuration='true' title='Llimona Benet, Maria' classname='Sculptor' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>1894-1985; Sculptor  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2639'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2639'&gt;more...&lt;/a&gt;,1894-1985; Sculptor,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2639,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2639</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,FRESCO
3118,"López Cancio, Mariana",,"López Cancio, Mariana, 1909-",,1909,n.,,n.1909,,,,,1985,op.,op.1985,n.1909-op.1985,1909,1909,,,,Spanish,800,,,,y,,,,IR |D 1994 01 21 |T 15:33:18,MLH |D 1998 09 24 |T 12:34:32,,"López Cancio, Mariana",L,"López Cancio, Mariana Cancio, Mariana López*","Cancio, Mariana López*",,"López Cancio, Mariana, 1909-",,2677,,1909,1985,1985,1909,,,"<event start='1909' end='1985' isDuration='true' title='López Cancio, Mariana' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>n.1909-op.1985  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2677'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2677'&gt;more...&lt;/a&gt;,n.1909-op.1985,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2677,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2677</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,ULAN
3120,"López Castrillo, Flora",,"López Castrillo, Flora",,,,,,,,,,1910-1912,exh.,exh.1910-1912,exh.1910-1912,1910,1910,,,Madrid,Spanish,800,,,,y,,,1,IR |D 1994 01 21 |T 15:41:42,IR |D 1994 01 21 |T 15:41:42,,"López Castrillo, Flora",L,"López Castrillo, Flora Castrillo, Flora López*","Castrillo, Flora López*",1,"López Castrillo, Flora",,2679,Madrid. ,1910,1912,1912,1910,,,"<event start='1910' end='1912' isDuration='true' title='López Castrillo, Flora' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1910-1912; Madrid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2679'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2679'&gt;more...&lt;/a&gt;,exh.1910-1912; Madrid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2679,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2679</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,FRESCO
5276,"López del Baño y Diosdado, Josefa",,"López del Baño y Diosdado, Josefa, active 1878",,,,,,,,,,1878,exh.,exh.1878,exh.1878,1878,1878,,,Seville,Spanish,800,,,,Y,,,,CDEA |D 1994 11 02 |T 16:07:31,CDEA |D 1994 11 02 |T 16:07:31,,"López del Baño y Diosdado, Josefa",L,"López del Baño y Diosdado, Josefa Diosdado, Josefa López del Baño*","Diosdado, Josefa López del Baño*",,"López del Baño y Diosdado, Josefa, active 1878",,2685,Seville. ,1878,1878,1878,1878,,,"<event start='1878' end='1878' isDuration='true' title='López del Baño y Diosdado, Josefa' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1878; Seville  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2685'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2685'&gt;more...&lt;/a&gt;,exh.1878; Seville,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2685,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2685</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,ULAN
5277,"López Díaz, María",,"López Díaz, María, 1862-",,,,,,,,,,1908-1912,exh.,exh.1908-1912,exh.1908-1912,1908,1908,,,Madrid,Spanish,800,,,,Y,,,,CDEA |D 1994 11 02 |T 16:09:56,CDEA |D 1994 11 02 |T 16:09:56,,"López Díaz, María",L,"López Díaz, María Díaz, María López*","Díaz, María López*",,"López Díaz, María, 1862-",,2687,Madrid. ,1908,1912,1912,1908,,,"<event start='1908' end='1912' isDuration='true' title='López Díaz, María' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1908-1912; Madrid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2687'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2687'&gt;more...&lt;/a&gt;,exh.1908-1912; Madrid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2687,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2687</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,"ULAN, AKL"
5278,"López Fernández, Julia",,"López Fernández, Julia, active 1892",,,,,,,,,,1892,exh.,exh.1892,exh.1892,1892,1892,,,Valladolid,Spanish,800,,,,Y,,,,CDEA |D 1994 11 02 |T 16:11:47,CDEA |D 1994 11 02 |T 16:11:47,,"López Fernández, Julia",L,"López Fernández, Julia Fernández, Julia López*","Fernández, Julia López*",,"López Fernández, Julia, active 1892",,2690,Valladolid. ,1892,1892,1892,1892,,,"<event start='1892' end='1892' isDuration='true' title='López Fernández, Julia' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1892; Valladolid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2690'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2690'&gt;more...&lt;/a&gt;,exh.1892; Valladolid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2690,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2690</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,ULAN
5281,"López González, Luisa",,"López González, Luisa, active 1895-1904",,,,,,,,,,1895-1904,exh.,exh.1895-1904,exh.1895-1904,1895,1895,,,Madrid,Spanish,800,,,,Y,,,,CDEA |D 1994 11 02 |T 16:27:27,CDEA |D 1994 11 02 |T 16:27:27,,"López González, Luisa",L,"López González, Luisa González, Luisa López*","González, Luisa López*",,"López González, Luisa, active 1895-1904",,2695,Madrid. ,1895,1904,1904,1895,,,"<event start='1895' end='1904' isDuration='true' title='López González, Luisa' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1895-1904; Madrid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2695'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2695'&gt;more...&lt;/a&gt;,exh.1895-1904; Madrid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2695,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2695</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,ULAN
5282,"López Ortíz, Clementina",,"López Ortíz, Clementina, active 1882",,,,,,,,,,1878-op.1882,doc.,doc.1878-op.1882,doc.1878-op.1882,1878,1878,,,Madrid,Spanish,800,,,,Y,,,,CDEA |D 1994 11 02 |T 16:31:54,CDEA |D 1994 11 02 |T 16:31:54,,"López Ortíz, Clementina",L,"López Ortíz, Clementina Ortíz, Clementina López*","Ortíz, Clementina López*",,"López Ortíz, Clementina, active 1882",,2700,Madrid. ,1878,1882,1882,1878,,,"<event start='1878' end='1882' isDuration='true' title='López Ortíz, Clementina' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>doc.1878-op.1882; Madrid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2700'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2700'&gt;more...&lt;/a&gt;,doc.1878-op.1882; Madrid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2700,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2700</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,ULAN
5466,"López Salzillo, Emilia",,"López Salzillo, Emilia, active 1884-1890",,,,,,,,,,1884-1890,exh.,exh.1884-1890,exh.1884-1890,1884,1884,,,Murcia,Spanish,800,,,,Y,,,,CDEA |D 1994 11 28 |T 12:48:58,CDEA |D 1994 11 28 |T 12:48:58,,"López Salzillo, Emilia",L,"López Salzillo, Emilia López, Emilia","López, Emilia",,"López Salzillo, Emilia, active 1884-1890",,2708,Murcia. ,1884,1890,1890,1884,,,"<event start='1884' end='1890' isDuration='true' title='López Salzillo, Emilia' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1884-1890; Murcia  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2708'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2708'&gt;more...&lt;/a&gt;,exh.1884-1890; Murcia,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2708,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2708</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,ULAN
5283,"López San Román, Romana",,"López San Román, Romana, active 1825",,,,,,,,,,1825,exh.,exh.1825,exh.1825,1825,1825,,,Madrid,Spanish,800,,,,Y,,,,CDEA |D 1994 11 02 |T 16:37:07,CDEA |D 1994 11 02 |T 16:37:07,,"López San Román, Romana",L,"López San Román, Romana San Román, Romana López*","San Román, Romana López*",,"López San Román, Romana, active 1825",,2709,Madrid. ,1825,1825,1825,1825,,,"<event start='1825' end='1825' isDuration='true' title='López San Román, Romana' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1825; Madrid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2709'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2709'&gt;more...&lt;/a&gt;,exh.1825; Madrid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2709,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2709</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,ULAN
3571,"López, María",,"López, María, active 1902-1903",,,,,,,,,,1902-1903,doc.,doc.1902-1903,doc.1902-1903,1902,1902,,,Madrid,Spanish,800,,,,Y,,,,CDEA |D 1994 11 28 |T 12:29:27,CDEA |D 1994 11 28 |T 12:29:27,,"López, María",L,"López, María ",,,"López, María, active 1902-1903",,2723,Madrid. ,1902,1903,1903,1902,,,"<event start='1902' end='1903' isDuration='true' title='López, María' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>doc.1902-1903; Madrid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2723'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2723'&gt;more...&lt;/a&gt;,doc.1902-1903; Madrid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2723,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2723</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,FRESCO
5284,"Lorenzo y González, Matilde",,"Lorenzo y González, Matilde, active 1878",,,,,,,,,,1878-exh.1887,doc.,doc.1878-exh.1887,doc.1878-exh.1887,1878,1878,,,Madrid,Spanish,800,,,,Y,,,,CDEA |D 1994 11 02 |T 16:50:11,CDEA |D 1994 11 02 |T 16:50:11,,"Lorenzo y González, Matilde",L,"Lorenzo y González, Matilde González, Matilde Lorenzo*","González, Matilde Lorenzo*",,"Lorenzo y González, Matilde, active 1878",,2733,Madrid. ,1878,1887,1887,1878,,,"<event start='1878' end='1887' isDuration='true' title='Lorenzo y González, Matilde' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>doc.1878-exh.1887; Madrid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2733'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=2733'&gt;more...&lt;/a&gt;,doc.1878-exh.1887; Madrid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2733,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=2733</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,ULAN
